ID,地点名,收益ID,关卡类型,战斗场景,场景音乐,默认开启,描述,场景怪物列表,图标,首掉频率,首次掉落组,随后频率,地点掉落组,事件1探索时间,事件1,宝箱掉落,场景类型
100183,19-3,19,3,cave,mining,,至尊宝,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110100094,3600,110100094,120,1000183,,3
100184,19-4,19,4,cave,field,,紫霞仙子,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110100095,14400,110100095,120,1000184,,3
100185,19-5,19,5,cave,boss,,猴子,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,300100095,3600,200100095,1200,1000185,1800,3
100186,19-1,63,1,cave,mining,,三师弟,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110000001,3600,110000001,120,1000186,,3
100187,19-2,63,2,cave,field,,唐三,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110000002,3600,110000002,120,1000187,,3
100188,19-3,63,3,cave,mining,,至尊宝,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110200094,3600,110200094,120,1000188,,3
100189,19-4,63,4,cave,field,,紫霞仙子,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110200095,14400,110200095,120,1000189,,3
100190,19-5,63,5,cave,boss,,猴子,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,300200095,3600,200200095,1200,1000190,1800,3
100191,19-1,101,1,cave,mining,,三师弟,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110000001,3600,110000001,120,1000191,,3
100192,19-2,101,2,cave,field,,唐三,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110000002,3600,110000002,120,1000192,,3
100193,19-3,101,3,cave,mining,,至尊宝,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110300094,3600,110300094,120,1000193,,3
100194,19-4,101,4,cave,field,,紫霞仙子,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110300095,14400,110300095,120,1000194,,3
100195,19-5,101,5,cave,boss,,猴子,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,300300095,3600,200300095,1200,1000195,1800,3
100196,20-1,20,1,ether,field,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110000001,3600,110000001,120,1000196,,4
100197,20-2,20,2,ether,mining,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110000002,3600,110000002,120,1000197,,4
100198,20-3,20,3,ether,city,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110100099,3600,110100099,120,1000198,,4
100199,20-4,20,4,ether,mining,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110100100,14400,110100100,120,1000199,,4
100200,20-5,20,5,ether,boss,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,300100100,3600,200100100,1200,1000200,,4
100201,20-1,64,1,ether,field,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110000001,3600,110000001,120,1000201,,4
100202,20-2,64,2,ether,mining,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110000002,3600,110000002,120,1000202,,4
100203,20-3,64,3,ether,city,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110200099,3600,110200099,120,1000203,,4
100204,20-4,64,4,ether,mining,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110200100,14400,110200100,120,1000204,,4
100205,20-5,64,5,ether,boss,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,300200100,3600,200200100,1200,1000205,,4
100206,20-1,102,1,ether,field,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110000001,3600,110000001,120,1000206,,4
100207,20-2,102,2,ether,mining,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110000002,3600,110000002,120,1000207,,4
100208,20-3,102,3,ether,city,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110300099,3600,110300099,120,1000208,,4
100209,20-4,102,4,ether,mining,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,110300100,14400,110300100,120,1000209,,4
100210,20-5,102,5,ether,boss,,,19000035|18000027|18000009|19000026|19000022,icon/maze/ether,1200,300300100,3600,200300100,1200,1000210,,4
100211,21-1,21,1,fort,field,,奶茶妹,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110000001,3600,110000001,120,1000211,,5
100212,21-2,21,2,fort,field,,金三胖,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110000002,3600,110000002,120,1000212,,5
100213,21-3,21,3,fort,mining,,奥巴马,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110100104,3600,110100104,120,1000213,,5
100214,21-4,21,4,fort,mining,,普京,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110100105,14400,110100105,120,1000214,,5
100215,21-5,21,5,fort,boss,,,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,300100105,3600,200100105,1200,1000215,1800,5
100216,21-1,65,1,fort,field,,奶茶妹,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110000001,3600,110000001,120,1000216,,5
100217,21-2,65,2,fort,field,,金三胖,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110000002,3600,110000002,120,1000217,,5
100218,21-3,65,3,fort,mining,,奥巴马,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110200104,3600,110200104,120,1000218,,5
100219,21-4,65,4,fort,mining,,普京,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110200105,14400,110200105,120,1000219,,5
100220,21-5,65,5,fort,boss,,,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,300200105,3600,200200105,1200,1000220,1800,5
100221,21-1,103,1,fort,field,,奶茶妹,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110000001,3600,110000001,120,1000221,,5
100222,21-2,103,2,fort,field,,金三胖,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110000002,3600,110000002,120,1000222,,5
100223,21-3,103,3,fort,mining,,奥巴马,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110300104,3600,110300104,120,1000223,,5
100224,21-4,103,4,fort,mining,,普京,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,110300105,14400,110300105,120,1000224,,5
100225,21-5,103,5,fort,boss,,,11000011|11000021|11000022|11000025|11000024,icon/maze/fort,1200,300300105,3600,200300105,1200,1000225,1800,5
100226,22-1,22,1,time,mining,,结城·明日奈,15000005|15000006|15000007,icon/maze/time,1200,110000001,3600,110000001,120,1000226,,18
100227,22-2,22,2,time,field,,时崎·狂三,15000005|15000006|15000007,icon/maze/time,1200,110000002,3600,110000002,120,1000227,,18
100228,22-3,22,3,time,mining,,初音未来,15000005|15000006|15000007,icon/maze/time,1200,110100109,3600,110100109,120,1000228,,18
100229,22-4,22,4,time,field,,黑岩射手,15000005|15000006|15000007,icon/maze/time,1200,110100110,14400,110100110,120,1000229,,18
100230,22-5,22,5,time,boss,,死亡主宰,15000005|15000006|15000007,icon/maze/time,1200,300100110,3600,200100110,1200,1000230,1800,18
100231,22-1,66,1,time,mining,,结城·明日奈,15000005|15000006|15000007,icon/maze/time,1200,110000001,3600,110000001,120,1000231,,18
100232,22-2,66,2,time,field,,时崎·狂三,15000005|15000006|15000007,icon/maze/time,1200,110000002,3600,110000002,120,1000232,,18
100233,22-3,66,3,time,mining,,初音未来,15000005|15000006|15000007,icon/maze/time,1200,110200109,3600,110200109,120,1000233,,18
100234,22-4,66,4,time,field,,黑岩射手,15000005|15000006|15000007,icon/maze/time,1200,110200110,14400,110200110,120,1000234,,18
100235,22-5,66,5,time,boss,,死亡主宰,15000005|15000006|15000007,icon/maze/time,1200,300200110,3600,200200110,1200,1000235,1800,18
100236,22-1,104,1,time,mining,,结城·明日奈,15000005|15000006|15000007,icon/maze/time,1200,110000001,3600,110000001,120,1000236,,18
100237,22-2,104,2,time,field,,时崎·狂三,15000005|15000006|15000007,icon/maze/time,1200,110000002,3600,110000002,120,1000237,,18
100238,22-3,104,3,time,mining,,初音未来,15000005|15000006|15000007,icon/maze/time,1200,110300109,3600,110300109,120,1000238,,18
100239,22-4,104,4,time,field,,黑岩射手,15000005|15000006|15000007,icon/maze/time,1200,110300110,14400,110300110,120,1000239,,18
100240,22-5,104,5,time,boss,,死亡主宰,15000005|15000006|15000007,icon/maze/time,1200,300300110,3600,200300110,1200,1000240,1800,18
100241,23-1,23,1,oasis,field,,,18000059,icon/maze/oasis,1200,110000001,3600,110000001,120,1000241,,12
100242,23-2,23,2,oasis,field,,,19000085,icon/maze/oasis,1200,110000002,3600,110000002,120,1000242,,12
100243,23-3,23,3,oasis,field,,,19000086,icon/maze/oasis,1200,110100114,3600,110100114,120,1000243,,12
100244,23-4,23,4,oasis,field,,,19000068|19000067,icon/maze/oasis,1200,110100115,14400,110100115,120,1000244,,12
100245,23-5,23,5,oasis,boss,,,19000068|19000067,icon/maze/oasis,1200,300100115,3600,200100115,1200,1000245,,12
100246,23-1,67,1,oasis,field,,,18000059,icon/maze/oasis,1200,110000001,3600,110000001,120,1000246,,12
100247,23-2,67,2,oasis,field,,,19000085,icon/maze/oasis,1200,110000002,3600,110000002,120,1000247,,12
100248,23-3,67,3,oasis,field,,,19000086,icon/maze/oasis,1200,110200114,3600,110200114,120,1000248,,12
100249,23-4,67,4,oasis,field,,,19000068|19000067,icon/maze/oasis,1200,110200115,14400,110200115,120,1000249,,12
100250,23-5,67,5,oasis,boss,,,19000068|19000067,icon/maze/oasis,1200,300200115,3600,200200115,1200,1000250,,12
100251,23-1,105,1,oasis,field,,,18000059,icon/maze/oasis,1200,110000001,3600,110000001,120,1000251,,12
100252,23-2,105,2,oasis,field,,,19000085,icon/maze/oasis,1200,110000002,3600,110000002,120,1000252,,12
100253,23-3,105,3,oasis,field,,,19000086,icon/maze/oasis,1200,110300114,3600,110300114,120,1000253,,12
100254,23-4,105,4,oasis,field,,,19000068|19000067,icon/maze/oasis,1200,110300115,14400,110300115,120,1000254,,12
100255,23-5,105,5,oasis,boss,,,19000068|19000067,icon/maze/oasis,1200,300300115,3600,200300115,1200,1000255,,12
100256,24-1,24,1,aircity,field,,两仪·真绫,13000004,icon/maze/aircity,1200,110000001,3600,110000001,120,1000256,,10
100257,24-2,24,2,aircity,field,,两仪·真绫,18000043|19000056,icon/maze/aircity,1200,110000002,3600,110000002,120,1000257,,10
100258,24-3,24,3,aircity,mining,,两仪·真绫,18000034|17000027|17000026|17000025|17000024,icon/maze/aircity,1200,110100119,3600,110100119,120,1000258,,10
100259,24-4,24,4,aircity,mining,,两仪·真绫,17000011|17000010|17000001|18000037,icon/maze/aircity,1200,110100120,14400,110100120,120,1000259,,10
100260,24-5,24,5,aircity,boss,,两仪·真绫,22000002|22000003|22000004,icon/maze/aircity,1200,300100120,3600,200100120,1200,1000260,,10
100261,24-1,68,1,aircity,field,,两仪·真绫,13000004,icon/maze/aircity,1200,110000001,3600,110000001,120,1000261,,10
100262,24-2,68,2,aircity,field,,两仪·真绫,18000043|19000056,icon/maze/aircity,1200,110000002,3600,110000002,120,1000262,,10
100263,24-3,68,3,aircity,mining,,两仪·真绫,18000034|17000027|17000026|17000025|17000024,icon/maze/aircity,1200,110200119,3600,110200119,120,1000263,,10
100264,24-4,68,4,aircity,mining,,两仪·真绫,17000011|17000010|17000001|18000037,icon/maze/aircity,1200,110200120,14400,110200120,120,1000264,,10
100265,24-5,68,5,aircity,boss,,两仪·真绫,22000002|22000003|22000004,icon/maze/aircity,1200,300200120,3600,200200120,1200,1000265,,10
100266,24-1,106,1,aircity,field,,两仪·真绫,13000004,icon/maze/aircity,1200,110000001,3600,110000001,120,1000266,,10
100267,24-2,106,2,aircity,field,,两仪·真绫,18000043|19000056,icon/maze/aircity,1200,110000002,3600,110000002,120,1000267,,10
100268,24-3,106,3,aircity,mining,,两仪·真绫,18000034|17000027|17000026|17000025|17000024,icon/maze/aircity,1200,110300119,3600,110300119,120,1000268,,10
100269,24-4,106,4,aircity,mining,,两仪·真绫,17000011|17000010|17000001|18000037,icon/maze/aircity,1200,110300120,14400,110300120,120,1000269,,10
100270,24-5,106,5,aircity,boss,,两仪·真绫,22000002|22000003|22000004,icon/maze/aircity,1200,300300120,3600,200300120,1200,1000270,,10
100271,25-1,25,1,aircity,field,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110000001,3600,110000001,120,1000271,,1
100272,25-2,25,2,aircity,city,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110000002,3600,110000002,120,1000272,,1
100273,25-3,25,3,aircity,field,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110100124,3600,110100124,120,1000273,,1
100274,25-4,25,4,aircity,mining,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110100125,14400,110100125,120,1000274,,1
100275,25-5,25,5,aircity,boss,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,300100125,3600,200100125,1200,1000275,,1
100276,25-1,69,1,aircity,field,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110000001,3600,110000001,120,1000276,,1
100277,25-2,69,2,aircity,city,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110000002,3600,110000002,120,1000277,,1
100278,25-3,69,3,aircity,field,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110200124,3600,110200124,120,1000278,,1
100279,25-4,69,4,aircity,mining,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110200125,14400,110200125,120,1000279,,1
100280,25-5,69,5,aircity,boss,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,300200125,3600,200200125,1200,1000280,,1
100281,25-1,107,1,aircity,field,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110000001,3600,110000001,120,1000281,,1
100282,25-2,107,2,aircity,city,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110000002,3600,110000002,120,1000282,,1
100283,25-3,107,3,aircity,field,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110300124,3600,110300124,120,1000283,,1
100284,25-4,107,4,aircity,mining,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,110300125,14400,110300125,120,1000284,,1
100285,25-5,107,5,aircity,boss,,,16000010|18000012|16000012|19000007|19000020,icon/maze/aircity,1200,300300125,3600,200300125,1200,1000285,,1
100286,26-1,26,1,aircity,field,,,19000037|19000033,icon/maze/aircity,1200,110000001,3600,110000001,120,1000286,,1
100287,26-2,26,2,aircity,mining,,,19000044,icon/maze/aircity,1200,110000002,3600,110000002,120,1000287,,1
100288,26-3,26,3,aircity,field,,,17000018|17000019|17000020|17000021|17000022,icon/maze/aircity,1200,110100129,3600,110100129,120,1000288,,1
100289,26-4,26,4,aircity,mining,,,19000036|13000012|13000013,icon/maze/aircity,1200,110100130,14400,110100130,120,1000289,,1
100290,26-5,26,5,aircity,boss,,,19000068|13000010|13000011,icon/maze/aircity,1200,300100130,3600,200100130,1200,1000290,,1
100291,26-1,70,1,aircity,field,,,19000037|19000033,icon/maze/aircity,1200,110000001,3600,110000001,120,1000291,,1
100292,26-2,70,2,aircity,mining,,,19000044,icon/maze/aircity,1200,110000002,3600,110000002,120,1000292,,1
100293,26-3,70,3,aircity,field,,,17000018|17000019|17000020|17000021|17000022,icon/maze/aircity,1200,110200129,3600,110200129,120,1000293,,1
100294,26-4,70,4,aircity,mining,,,19000036|13000012|13000013,icon/maze/aircity,1200,110200130,14400,110200130,120,1000294,,1
100295,26-5,70,5,aircity,boss,,,19000068|13000010|13000011,icon/maze/aircity,1200,300200130,3600,200200130,1200,1000295,,1
100296,26-1,108,1,aircity,field,,,19000037|19000033,icon/maze/aircity,1200,110000001,3600,110000001,120,1000296,,1
100297,26-2,108,2,aircity,mining,,,19000044,icon/maze/aircity,1200,110000002,3600,110000002,120,1000297,,1
100298,26-3,108,3,aircity,field,,,17000018|17000019|17000020|17000021|17000022,icon/maze/aircity,1200,110300129,3600,110300129,120,1000298,,1
100299,26-4,108,4,aircity,mining,,,19000036|13000012|13000013,icon/maze/aircity,1200,110300130,14400,110300130,120,1000299,,1
100300,26-5,108,5,aircity,boss,,,19000068|13000010|13000011,icon/maze/aircity,1200,300300130,3600,200300130,1200,1000300,,1
100301,27-1,27,1,temple,field,,,18000019|16000010|16000011|16000012|16000013,icon/maze/temple,1200,110000001,3600,110000001,120,1000301,,17
100302,27-2,27,2,temple,mining,,,19000058|19000057,icon/maze/temple,1200,110000002,3600,110000002,120,1000302,,17
100303,27-3,27,3,temple,field,,,19000046|19000045|18000039,icon/maze/temple,1200,110100134,3600,110100134,120,1000303,,17
100304,27-4,27,4,temple,mining,,,19000043|18000037,icon/maze/temple,1200,110100135,14400,110100135,120,1000304,,17
100305,27-5,27,5,temple,boss,,,18000019|16000010|16000011|16000012|16000013,icon/maze/temple,1200,300100135,3600,200100135,1200,1000305,,17
100306,27-1,71,1,temple,field,,,18000019|16000010|16000011|16000012|16000013,icon/maze/temple,1200,110000001,3600,110000001,120,1000306,,17
100307,27-2,71,2,temple,mining,,,19000058|19000057,icon/maze/temple,1200,110000002,3600,110000002,120,1000307,,17
100308,27-3,71,3,temple,field,,,19000046|19000045|18000039,icon/maze/temple,1200,110200134,3600,110200134,120,1000308,,17
100309,27-4,71,4,temple,mining,,,19000043|18000037,icon/maze/temple,1200,110200135,14400,110200135,120,1000309,,17
100310,27-5,71,5,temple,boss,,,18000019|16000010|16000011|16000012|16000013,icon/maze/temple,1200,300200135,3600,200200135,1200,1000310,,17
100311,27-1,109,1,temple,field,,,18000019|16000010|16000011|16000012|16000013,icon/maze/temple,1200,110000001,3600,110000001,120,1000311,,17
100312,27-2,109,2,temple,mining,,,19000058|19000057,icon/maze/temple,1200,110000002,3600,110000002,120,1000312,,17
100313,27-3,109,3,temple,field,,,19000046|19000045|18000039,icon/maze/temple,1200,110300134,3600,110300134,120,1000313,,17
100314,27-4,109,4,temple,mining,,,19000043|18000037,icon/maze/temple,1200,110300135,14400,110300135,120,1000314,,17
100315,27-5,109,5,temple,boss,,,18000019|16000010|16000011|16000012|16000013,icon/maze/temple,1200,300300135,3600,200300135,1200,1000315,,17
100316,28-1,28,1,angel,field,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110000001,3600,110000001,120,1000316,,2
100317,28-2,28,2,angel,mining,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110000002,3600,110000002,120,1000317,,2
100318,28-3,28,3,angel,city,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110100139,3600,110100139,120,1000318,,2
100319,28-4,28,4,angel,field,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110100140,14400,110100140,120,1000319,,2
100320,28-5,28,5,angel,boss,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,300100140,3600,200100140,1200,1000320,,2
100321,28-1,72,1,angel,field,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110000001,3600,110000001,120,1000321,,2
100322,28-2,72,2,angel,mining,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110000002,3600,110000002,120,1000322,,2
100323,28-3,72,3,angel,city,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110200139,3600,110200139,120,1000323,,2
100324,28-4,72,4,angel,field,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110200140,14400,110200140,120,1000324,,2
100325,28-5,72,5,angel,boss,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,300200140,3600,200200140,1200,1000325,,2
100326,28-1,110,1,angel,field,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110000001,3600,110000001,120,1000326,,2
100327,28-2,110,2,angel,mining,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110000002,3600,110000002,120,1000327,,2
100328,28-3,110,3,angel,city,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110300139,3600,110300139,120,1000328,,2
100329,28-4,110,4,angel,field,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,110300140,14400,110300140,120,1000329,,2
100330,28-5,110,5,angel,boss,,,15000005|14000001|19000036|19000038|19000002|19000043|19000041,icon/maze/angel,1200,300300140,3600,200300140,1200,1000330,,2
100331,29-1,29,1,fight,field,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110000001,3600,110000001,120,1000331,,6
100332,29-2,29,2,fight,mining,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110000002,3600,110000002,120,1000332,,6
100333,29-3,29,3,fight,field,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110100144,3600,110100144,120,1000333,,6
100334,29-4,29,4,fight,mining,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110100145,14400,110100145,120,1000334,,6
100335,29-5,29,5,fight,boss,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,300100145,3600,200100145,1200,1000335,,6
100336,29-1,73,1,fight,field,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110000001,3600,110000001,120,1000336,,6
100337,29-2,73,2,fight,mining,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110000002,3600,110000002,120,1000337,,6
100338,29-3,73,3,fight,field,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110200144,3600,110200144,120,1000338,,6
100339,29-4,73,4,fight,mining,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110200145,14400,110200145,120,1000339,,6
100340,29-5,73,5,fight,boss,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,300200145,3600,200200145,1200,1000340,,6
100341,29-1,111,1,fight,field,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110000001,3600,110000001,120,1000341,,6
100342,29-2,111,2,fight,mining,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110000002,3600,110000002,120,1000342,,6
100343,29-3,111,3,fight,field,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110300144,3600,110300144,120,1000343,,6
100344,29-4,111,4,fight,mining,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,110300145,14400,110300145,120,1000344,,6
100345,29-5,111,5,fight,boss,,,19000056|19000025|18000044|19000009|19000055,icon/maze/fight,1200,300300145,3600,200300145,1200,1000345,,6
100346,30-1,30,1,cave,field,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000039,icon/maze/cave,1200,110000001,3600,110000001,120,1000346,,3
100347,30-2,30,2,cave,mining,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000040,icon/maze/cave,1200,110000002,3600,110000002,120,1000347,,3
100348,30-3,30,3,cave,city,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000041,icon/maze/cave,1200,110100149,3600,110100149,120,1000348,,3
100349,30-4,30,4,cave,mining,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000042,icon/maze/cave,1200,110100150,14400,110100150,120,1000349,,3
100350,30-5,30,5,cave,boss,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000043,icon/maze/cave,1200,300100150,3600,200100150,1200,1000350,,3
100351,30-1,74,1,cave,field,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000039,icon/maze/cave,1200,110000001,3600,110000001,120,1000351,,3
100352,30-2,74,2,cave,mining,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000040,icon/maze/cave,1200,110000002,3600,110000002,120,1000352,,3
100353,30-3,74,3,cave,city,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000041,icon/maze/cave,1200,110200149,3600,110200149,120,1000353,,3
100354,30-4,74,4,cave,mining,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000042,icon/maze/cave,1200,110200150,14400,110200150,120,1000354,,3
100355,30-5,74,5,cave,boss,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000043,icon/maze/cave,1200,300200150,3600,200200150,1200,1000355,,3
100356,30-1,112,1,cave,field,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000039,icon/maze/cave,1200,110000001,3600,110000001,120,1000356,,3
100357,30-2,112,2,cave,mining,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000040,icon/maze/cave,1200,110000002,3600,110000002,120,1000357,,3
100358,30-3,112,3,cave,city,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000041,icon/maze/cave,1200,110300149,3600,110300149,120,1000358,,3
100359,30-4,112,4,cave,mining,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000042,icon/maze/cave,1200,110300150,14400,110300150,120,1000359,,3
100360,30-5,112,5,cave,boss,,,19000047|19000049|19000048|19000012|17000003|18000004|19000045|18000043,icon/maze/cave,1200,300300150,3600,200300150,1200,1000360,,3
100361,31-1,31,1,oasis,mining,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110000001,3600,110000001,120,1000361,,12
100362,31-2,31,2,oasis,city,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110000002,3600,110000002,120,1000362,,12
100363,31-3,31,3,oasis,field,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110100154,3600,110100154,120,1000363,,12
100364,31-4,31,4,oasis,field,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110100155,14400,110100155,120,1000364,,12
100365,31-5,31,5,oasis,boss,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,300100155,3600,200100155,1200,1000365,,12
100366,31-1,75,1,oasis,mining,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110000001,3600,110000001,120,1000366,,12
100367,31-2,75,2,oasis,city,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110000002,3600,110000002,120,1000367,,12
100368,31-3,75,3,oasis,field,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110200154,3600,110200154,120,1000368,,12
100369,31-4,75,4,oasis,field,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110200155,14400,110200155,120,1000369,,12
100370,31-5,75,5,oasis,boss,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,300200155,3600,200200155,1200,1000370,,12
100371,31-1,113,1,oasis,mining,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110000001,3600,110000001,120,1000371,,12
100372,31-2,113,2,oasis,city,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110000002,3600,110000002,120,1000372,,12
100373,31-3,113,3,oasis,field,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110300154,3600,110300154,120,1000373,,12
100374,31-4,113,4,oasis,field,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,110300155,14400,110300155,120,1000374,,12
100375,31-5,113,5,oasis,boss,,,17000033|18000043|17000031|17000032,icon/maze/oasis,1200,300300155,3600,200300155,1200,1000375,,12
100376,32-1,32,1,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000376,,8
