ID,佣兵ID,宝具等级,消耗资源,消耗个数,战力提升,先攻提升,防御提升,闪避提升,王者提升
744,19000075,4,57,9,5,,,,
745,19000075,5,57,13,,0,1,0,1
746,19000075,6,57,18,5,,,,
747,19000075,7,57,24,5,,,,
748,19000075,8,57,31,5,,,,
749,19000075,9,57,39,5,,,,
750,19000075,10,57,47,,1,2,0,0
751,19000076,1,57,3,5,,,,
752,19000076,2,57,4,5,,,,
753,19000076,3,57,6,5,,,,
754,19000076,4,57,9,5,,,,
755,19000076,5,57,13,,0,0,1,1
756,19000076,6,57,18,5,,,,
757,19000076,7,57,24,5,,,,
758,19000076,8,57,31,5,,,,
759,19000076,9,57,39,5,,,,
760,19000076,10,57,47,,2,1,1,0
761,19000077,1,57,3,5,,,,
762,19000077,2,57,4,5,,,,
763,19000077,3,57,6,5,,,,
764,19000077,4,57,9,5,,,,
765,19000077,5,57,13,,1,0,0,1
766,19000077,6,57,18,5,,,,
767,19000077,7,57,24,5,,,,
768,19000077,8,57,31,5,,,,
769,19000077,9,57,39,5,,,,
770,19000077,10,57,47,,2,1,1,0
771,19000078,1,57,3,5,,,,
772,19000078,2,57,4,5,,,,
773,19000078,3,57,6,5,,,,
774,19000078,4,57,9,5,,,,
775,19000078,5,57,13,,1,1,1,0
776,19000078,6,57,18,5,,,,
777,19000078,7,57,24,5,,,,
778,19000078,8,57,31,5,,,,
779,19000078,9,57,39,5,,,,
780,19000078,10,57,47,,1,1,0,1
781,19000079,1,57,3,5,,,,
782,19000079,2,57,4,5,,,,
783,19000079,3,57,6,5,,,,
784,19000079,4,57,9,5,,,,
785,19000079,5,57,13,,1,1,1,0
786,19000079,6,57,18,5,,,,
787,19000079,7,57,24,5,,,,
788,19000079,8,57,31,5,,,,
789,19000079,9,57,39,5,,,,
790,19000079,10,57,47,,1,1,0,1
791,19000080,1,57,3,5,,,,
792,19000080,2,57,4,5,,,,
793,19000080,3,57,6,5,,,,
794,19000080,4,57,9,5,,,,
795,19000080,5,57,13,,1,0,0,1
796,19000080,6,57,18,5,,,,
797,19000080,7,57,24,5,,,,
798,19000080,8,57,31,5,,,,
799,19000080,9,57,39,5,,,,
800,19000080,10,57,47,,2,1,1,0
801,19000081,1,57,3,5,,,,
802,19000081,2,57,4,5,,,,
803,19000081,3,57,6,5,,,,
804,19000081,4,57,9,5,,,,
805,19000081,5,57,13,,0,0,1,1
806,19000081,6,57,18,5,,,,
807,19000081,7,57,24,5,,,,
808,19000081,8,57,31,5,,,,
809,19000081,9,57,39,5,,,,
810,19000081,10,57,47,,2,1,1,0
811,19000082,1,57,3,5,,,,
812,19000082,2,57,4,5,,,,
813,19000082,3,57,6,5,,,,
814,19000082,4,57,9,5,,,,
815,19000082,5,57,13,,1,1,0,0
816,19000082,6,57,18,5,,,,
817,19000082,7,57,24,5,,,,
818,19000082,8,57,31,5,,,,
819,19000082,9,57,39,5,,,,
820,19000082,10,57,47,,1,1,1,0
821,19000083,1,57,3,5,,,,
822,19000083,2,57,4,5,,,,
823,19000083,3,57,6,5,,,,
824,19000083,4,57,9,5,,,,
825,19000083,5,57,13,,0,1,0,1
826,19000083,6,57,18,5,,,,
827,19000083,7,57,24,5,,,,
828,19000083,8,57,31,5,,,,
829,19000083,9,57,39,5,,,,
830,19000083,10,57,47,,2,1,1,0
831,19000084,1,57,3,5,,,,
832,19000084,2,57,4,5,,,,
833,19000084,3,57,6,5,,,,
834,19000084,4,57,9,5,,,,
835,19000084,5,57,13,,0,0,1,1
836,19000084,6,57,18,5,,,,
837,19000084,7,57,24,5,,,,
838,19000084,8,57,31,5,,,,
839,19000084,9,57,39,5,,,,
840,19000084,10,57,47,,0,1,2,0
841,19000085,1,57,3,5,,,,
842,19000085,2,57,4,5,,,,
843,19000085,3,57,6,5,,,,
844,19000085,4,57,9,5,,,,
845,19000085,5,57,13,,1,0,0,1
846,19000085,6,57,18,5,,,,
847,19000085,7,57,24,5,,,,
848,19000085,8,57,31,5,,,,
849,19000085,9,57,39,5,,,,
850,19000085,10,57,47,,2,1,0,0
851,19000086,1,57,3,5,,,,
852,19000086,2,57,4,5,,,,
853,19000086,3,57,6,5,,,,
854,19000086,4,57,9,5,,,,
855,19000086,5,57,13,,0,0,1,1
856,19000086,6,57,18,5,,,,
857,19000086,7,57,24,5,,,,
858,19000086,8,57,31,5,,,,
859,19000086,9,57,39,5,,,,
860,19000086,10,57,47,,2,1,1,0
861,19000087,1,57,3,5,,,,
862,19000087,2,57,4,5,,,,
863,19000087,3,57,6,5,,,,
864,19000087,4,57,9,5,,,,
865,19000087,5,57,13,,0,0,1,1
866,19000087,6,57,18,5,,,,
867,19000087,7,57,24,5,,,,
868,19000087,8,57,31,5,,,,
869,19000087,9,57,39,5,,,,
870,19000087,10,57,47,,0,1,2,0
871,19000088,1,57,3,5,,,,
872,19000088,2,57,4,5,,,,
873,19000088,3,57,6,5,,,,
874,19000088,4,57,9,5,,,,
875,19000088,5,57,13,,0,0,1,1
876,19000088,6,57,18,5,,,,
877,19000088,7,57,24,5,,,,
878,19000088,8,57,31,5,,,,
879,19000088,9,57,39,5,,,,
880,19000088,10,57,47,,2,1,1,0
881,19000089,1,57,3,5,,,,
882,19000089,2,57,4,5,,,,
883,19000089,3,57,6,5,,,,
884,19000089,4,57,9,5,,,,
885,19000089,5,57,13,,1,0,0,1
886,19000089,6,57,18,5,,,,
887,19000089,7,57,24,5,,,,
888,19000089,8,57,31,5,,,,
889,19000089,9,57,39,5,,,,
890,19000089,10,57,47,,2,1,0,0
891,19000090,1,57,3,5,,,,
892,19000090,2,57,4,5,,,,
893,19000090,3,57,6,5,,,,
894,19000090,4,57,9,5,,,,
895,19000090,5,57,13,,1,0,0,1
896,19000090,6,57,18,5,,,,
897,19000090,7,57,24,5,,,,
898,19000090,8,57,31,5,,,,
899,19000090,9,57,39,5,,,,
900,19000090,10,57,47,,2,1,1,0
901,19000091,1,57,3,5,,,,
902,19000091,2,57,4,5,,,,
903,19000091,3,57,6,5,,,,
904,19000091,4,57,9,5,,,,
905,19000091,5,57,13,,0,0,1,1
906,19000091,6,57,18,5,,,,
907,19000091,7,57,24,5,,,,
908,19000091,8,57,31,5,,,,
909,19000091,9,57,39,5,,,,
910,19000091,10,57,47,,0,1,2,0
911,19000092,1,57,3,5,,,,
912,19000092,2,57,4,5,,,,
913,19000092,3,57,6,5,,,,
914,19000092,4,57,9,5,,,,
915,19000092,5,57,13,,1,1,0,0
916,19000092,6,57,18,5,,,,
917,19000092,7,57,24,5,,,,
918,19000092,8,57,31,5,,,,
919,19000092,9,57,39,5,,,,
920,19000092,10,57,47,,1,1,1,0
921,19000093,1,57,3,5,,,,
922,19000093,2,57,4,5,,,,
923,19000093,3,57,6,5,,,,
924,19000093,4,57,9,5,,,,
925,19000093,5,57,13,,0,1,0,1
926,19000093,6,57,18,5,,,,
927,19000093,7,57,24,5,,,,
928,19000093,8,57,31,5,,,,
929,19000093,9,57,39,5,,,,
930,19000093,10,57,47,,2,1,1,0
931,19000094,1,57,3,5,,,,
932,19000094,2,57,4,5,,,,
933,19000094,3,57,6,5,,,,
934,19000094,4,57,9,5,,,,
935,19000094,5,57,13,,0,1,0,1
936,19000094,6,57,18,5,,,,
937,19000094,7,57,24,5,,,,
938,19000094,8,57,31,5,,,,
939,19000094,9,57,39,5,,,,
940,19000094,10,57,47,,2,1,1,0
941,19000095,1,57,3,5,,,,
942,19000095,2,57,4,5,,,,
943,19000095,3,57,6,5,,,,
944,19000095,4,57,9,5,,,,
945,19000095,5,57,13,,0,0,1,1
946,19000095,6,57,18,5,,,,
947,19000095,7,57,24,5,,,,
948,19000095,8,57,31,5,,,,
949,19000095,9,57,39,5,,,,
950,19000095,10,57,47,,2,1,1,0
951,19000096,1,57,3,5,,,,
952,19000096,2,57,4,5,,,,
953,19000096,3,57,6,5,,,,
954,19000096,4,57,9,5,,,,
955,19000096,5,57,13,,0,1,0,1
956,19000096,6,57,18,5,,,,
957,19000096,7,57,24,5,,,,
958,19000096,8,57,31,5,,,,
959,19000096,9,57,39,5,,,,
960,19000096,10,57,47,,1,2,0,0
961,19000097,1,57,3,5,,,,
962,19000097,2,57,4,5,,,,
963,19000097,3,57,6,5,,,,
964,19000097,4,57,9,5,,,,
965,19000097,5,57,13,,0,1,0,1
966,19000097,6,57,18,5,,,,
967,19000097,7,57,24,5,,,,
968,19000097,8,57,31,5,,,,
969,19000097,9,57,39,5,,,,
970,19000097,10,57,47,,2,1,1,0
971,19000098,1,57,3,5,,,,
972,19000098,2,57,4,5,,,,
973,19000098,3,57,6,5,,,,
974,19000098,4,57,9,5,,,,
975,19000098,5,57,13,,1,0,0,1
976,19000098,6,57,18,5,,,,
977,19000098,7,57,24,5,,,,
978,19000098,8,57,31,5,,,,
979,19000098,9,57,39,5,,,,
980,19000098,10,57,47,,2,1,1,0
981,19000099,1,57,3,5,,,,
982,19000099,2,57,4,5,,,,
983,19000099,3,57,6,5,,,,
984,19000099,4,57,9,5,,,,
985,19000099,5,57,13,,1,1,0,0
986,19000099,6,57,18,5,,,,
987,19000099,7,57,24,5,,,,
988,19000099,8,57,31,5,,,,
989,19000099,9,57,39,5,,,,
990,19000099,10,57,47,,1,1,1,0
991,19000100,1,57,3,5,,,,
992,19000100,2,57,4,5,,,,
993,19000100,3,57,6,5,,,,
994,19000100,4,57,9,5,,,,
995,19000100,5,57,13,,1,1,0,0
996,19000100,6,57,18,5,,,,
997,19000100,7,57,24,5,,,,
998,19000100,8,57,31,5,,,,
999,19000100,9,57,39,5,,,,
1000,19000100,10,57,47,,1,1,1,0
1001,19000101,1,57,3,5,,,,
1002,19000101,2,57,4,5,,,,
1003,19000101,3,57,6,5,,,,
1004,19000101,4,57,9,5,,,,
1005,19000101,5,57,13,,0,0,1,1
1006,19000101,6,57,18,5,,,,
1007,19000101,7,57,24,5,,,,
1008,19000101,8,57,31,5,,,,
1009,19000101,9,57,39,5,,,,
1010,19000101,10,57,47,,2,1,1,0
1011,19000102,1,57,3,5,,,,
1012,19000102,2,57,4,5,,,,
1013,19000102,3,57,6,5,,,,
1014,19000102,4,57,9,5,,,,
1015,19000102,5,57,13,,0,1,0,1
1016,19000102,6,57,18,5,,,,
1017,19000102,7,57,24,5,,,,
1018,19000102,8,57,31,5,,,,
1019,19000102,9,57,39,5,,,,
1020,19000102,10,57,47,,2,1,1,0
1021,19000103,1,57,3,5,,,,
1022,19000103,2,57,4,5,,,,
1023,19000103,3,57,6,5,,,,
1024,19000103,4,57,9,5,,,,
1025,19000103,5,57,13,,0,1,0,1
1026,19000103,6,57,18,5,,,,
1027,19000103,7,57,24,5,,,,
1028,19000103,8,57,31,5,,,,
1029,19000103,9,57,39,5,,,,
1030,19000103,10,57,47,,2,1,1,0
1031,19000104,1,57,3,5,,,,
1032,19000104,2,57,4,5,,,,
1033,19000104,3,57,6,5,,,,
1034,19000104,4,57,9,5,,,,
1035,19000104,5,57,13,,1,0,0,1
1036,19000104,6,57,18,5,,,,
1037,19000104,7,57,24,5,,,,
1038,19000104,8,57,31,5,,,,
1039,19000104,9,57,39,5,,,,
1040,19000104,10,57,47,,2,1,0,0
1041,19000105,1,57,3,5,,,,
1042,19000105,2,57,4,5,,,,
1043,19000105,3,57,6,5,,,,
1044,19000105,4,57,9,5,,,,
1045,19000105,5,57,13,,1,0,0,1
1046,19000105,6,57,18,5,,,,
1047,19000105,7,57,24,5,,,,
1048,19000105,8,57,31,5,,,,
1049,19000105,9,57,39,5,,,,
1050,19000105,10,57,47,,2,1,0,0
1051,19000106,1,57,3,5,,,,
1052,19000106,2,57,4,5,,,,
1053,19000106,3,57,6,5,,,,
1054,19000106,4,57,9,5,,,,
1055,19000106,5,57,13,,1,0,0,1
1056,19000106,6,57,18,5,,,,
1057,19000106,7,57,24,5,,,,
1058,19000106,8,57,31,5,,,,
1059,19000106,9,57,39,5,,,,
1060,19000106,10,57,47,,2,1,0,0
1061,19000107,1,57,3,5,,,,
1062,19000107,2,57,4,5,,,,
1063,19000107,3,57,6,5,,,,
1064,19000107,4,57,9,5,,,,
1065,19000107,5,57,13,,#N/A,#N/A,#N/A,#N/A
1066,19000107,6,57,18,5,,,,
1067,19000107,7,57,24,5,,,,
1068,19000107,8,57,31,5,,,,
1069,19000107,9,57,39,5,,,,
1070,19000107,10,57,47,,#N/A,#N/A,#N/A,#N/A
1071,19000108,1,57,3,5,,,,
1072,19000108,2,57,4,5,,,,
1073,19000108,3,57,6,5,,,,
1074,19000108,4,57,9,5,,,,
1075,19000108,5,57,13,,1,1,1,0
1076,19000108,6,57,18,5,,,,
1077,19000108,7,57,24,5,,,,
1078,19000108,8,57,31,5,,,,
1079,19000108,9,57,39,5,,,,
1080,19000108,10,57,47,,1,1,0,1
1081,19000109,1,57,3,5,,,,
1082,19000109,2,57,4,5,,,,
1083,19000109,3,57,6,5,,,,
1084,19000109,4,57,9,5,,,,
1085,19000109,5,57,13,,0,0,1,1
1086,19000109,6,57,18,5,,,,
1087,19000109,7,57,24,5,,,,
1088,19000109,8,57,31,5,,,,
1089,19000109,9,57,39,5,,,,
1090,19000109,10,57,47,,0,1,2,0
1091,19000110,1,57,3,5,,,,
1092,19000110,2,57,4,5,,,,
1093,19000110,3,57,6,5,,,,
1094,19000110,4,57,9,5,,,,
1095,19000110,5,57,13,,0,0,1,1
1096,19000110,6,57,18,5,,,,
1097,19000110,7,57,24,5,,,,
1098,19000110,8,57,31,5,,,,
1099,19000110,9,57,39,5,,,,
1100,19000110,10,57,47,,0,0,4,0
1101,19000111,1,57,3,5,,,,
1102,19000111,2,57,4,5,,,,
1103,19000111,3,57,6,5,,,,
1104,19000111,4,57,9,5,,,,
1105,19000111,5,57,13,,1,1,1,0
1106,19000111,6,57,18,5,,,,
1107,19000111,7,57,24,5,,,,
1108,19000111,8,57,31,5,,,,
1109,19000111,9,57,39,5,,,,
1110,19000111,10,57,47,,1,1,0,1
1111,19000112,1,57,3,5,,,,
1112,19000112,2,57,4,5,,,,
1113,19000112,3,57,6,5,,,,
1114,19000112,4,57,9,5,,,,
1115,19000112,5,57,13,,1,1,0,0
1116,19000112,6,57,18,5,,,,
1117,19000112,7,57,24,5,,,,
1118,19000112,8,57,31,5,,,,
1119,19000112,9,57,39,5,,,,
1120,19000112,10,57,47,,1,1,1,0
1121,19000113,1,57,3,5,,,,
1122,19000113,2,57,4,5,,,,
1123,19000113,3,57,6,5,,,,
1124,19000113,4,57,9,5,,,,
1125,19000113,5,57,13,,1,1,1,0
1126,19000113,6,57,18,5,,,,
1127,19000113,7,57,24,5,,,,
1128,19000113,8,57,31,5,,,,
1129,19000113,9,57,39,5,,,,
1130,19000113,10,57,47,,1,1,0,1
1131,19000114,1,57,3,5,,,,
1132,19000114,2,57,4,5,,,,
1133,19000114,3,57,6,5,,,,
1134,19000114,4,57,9,5,,,,
1135,19000114,5,57,13,,0,1,0,1
1136,19000114,6,57,18,5,,,,
1137,19000114,7,57,24,5,,,,
1138,19000114,8,57,31,5,,,,
1139,19000114,9,57,39,5,,,,
1140,19000114,10,57,47,,0,3,1,0
1141,19000115,1,57,3,5,,,,
1142,19000115,2,57,4,5,,,,
1143,19000115,3,57,6,5,,,,
1144,19000115,4,57,9,5,,,,
1145,19000115,5,57,13,,0,1,0,1
1146,19000115,6,57,18,5,,,,
1147,19000115,7,57,24,5,,,,
1148,19000115,8,57,31,5,,,,
1149,19000115,9,57,39,5,,,,
1150,19000115,10,57,47,,2,1,1,0
1151,19000116,1,57,3,5,,,,
1152,19000116,2,57,4,5,,,,
1153,19000116,3,57,6,5,,,,
1154,19000116,4,57,9,5,,,,
1155,19000116,5,57,13,,0,1,0,1
1156,19000116,6,57,18,5,,,,
1157,19000116,7,57,24,5,,,,
1158,19000116,8,57,31,5,,,,
1159,19000116,9,57,39,5,,,,
1160,19000116,10,57,47,,2,1,1,0
1161,19000117,1,57,3,5,,,,
1162,19000117,2,57,4,5,,,,
1163,19000117,3,57,6,5,,,,
1164,19000117,4,57,9,5,,,,
1165,19000117,5,57,13,,1,0,0,1
1166,19000117,6,57,18,5,,,,
1167,19000117,7,57,24,5,,,,
1168,19000117,8,57,31,5,,,,
1169,19000117,9,57,39,5,,,,
1170,19000117,10,57,47,,2,1,0,0
1171,19000118,1,57,3,5,,,,
1172,19000118,2,57,4,5,,,,
1173,19000118,3,57,6,5,,,,
1174,19000118,4,57,9,5,,,,
1175,19000118,5,57,13,,0,1,0,1
1176,19000118,6,57,18,5,,,,
1177,19000118,7,57,24,5,,,,
1178,19000118,8,57,31,5,,,,
1179,19000118,9,57,39,5,,,,
1180,19000118,10,57,47,,1,2,0,0
1181,19000119,1,57,3,5,,,,
1182,19000119,2,57,4,5,,,,
1183,19000119,3,57,6,5,,,,
1184,19000119,4,57,9,5,,,,
1185,19000119,5,57,13,,0,1,0,1
1186,19000119,6,57,18,5,,,,
1187,19000119,7,57,24,5,,,,
1188,19000119,8,57,31,5,,,,
1189,19000119,9,57,39,5,,,,
1190,19000119,10,57,47,,2,1,1,0
1191,19000120,1,57,3,5,,,,
1192,19000120,2,57,4,5,,,,
1193,19000120,3,57,6,5,,,,
1194,19000120,4,57,9,5,,,,
1195,19000120,5,57,13,,1,0,0,1
1196,19000120,6,57,18,5,,,,
1197,19000120,7,57,24,5,,,,
1198,19000120,8,57,31,5,,,,
1199,19000120,9,57,39,5,,,,
1200,19000120,10,57,47,,2,1,1,0
1201,19000121,1,57,3,5,,,,
1202,19000121,2,57,4,5,,,,
1203,19000121,3,57,6,5,,,,
1204,19000121,4,57,9,5,,,,
1205,19000121,5,57,13,,0,1,0,1
1206,19000121,6,57,18,5,,,,
1207,19000121,7,57,24,5,,,,
1208,19000121,8,57,31,5,,,,
1209,19000121,9,57,39,5,,,,
1210,19000121,10,57,47,,0,2,0,1
1211,19000122,1,57,3,5,,,,
1212,19000122,2,57,4,5,,,,
1213,19000122,3,57,6,5,,,,
1214,19000122,4,57,9,5,,,,
1215,19000122,5,57,13,,0,0,1,1
1216,19000122,6,57,18,5,,,,
1217,19000122,7,57,24,5,,,,
1218,19000122,8,57,31,5,,,,
1219,19000122,9,57,39,5,,,,
1220,19000122,10,57,47,,2,1,1,0
1221,19000123,1,57,3,5,,,,
1222,19000123,2,57,4,5,,,,
1223,19000123,3,57,6,5,,,,
1224,19000123,4,57,9,5,,,,
1225,19000123,5,57,13,,1,0,0,1
1226,19000123,6,57,18,5,,,,
1227,19000123,7,57,24,5,,,,
1228,19000123,8,57,31,5,,,,
1229,19000123,9,57,39,5,,,,
1230,19000123,10,57,47,,2,1,0,0
1231,19000124,1,57,3,5,,,,
1232,19000124,2,57,4,5,,,,
1233,19000124,3,57,6,5,,,,
1234,19000124,4,57,9,5,,,,
1235,19000124,5,57,13,,1,0,0,1
1236,19000124,6,57,18,5,,,,
1237,19000124,7,57,24,5,,,,
1238,19000124,8,57,31,5,,,,
1239,19000124,9,57,39,5,,,,
1240,19000124,10,57,47,,2,1,1,0
1241,19000125,1,57,3,5,,,,
1242,19000125,2,57,4,5,,,,
1243,19000125,3,57,6,5,,,,
1244,19000125,4,57,9,5,,,,
1245,19000125,5,57,13,,0,0,1,1
1246,19000125,6,57,18,5,,,,
1247,19000125,7,57,24,5,,,,
1248,19000125,8,57,31,5,,,,
1249,19000125,9,57,39,5,,,,
1250,19000125,10,57,47,,0,1,2,0
1251,19000126,1,57,3,5,,,,
1252,19000126,2,57,4,5,,,,
1253,19000126,3,57,6,5,,,,
1254,19000126,4,57,9,5,,,,
1255,19000126,5,57,13,,1,2,0,0
1256,19000126,6,57,18,5,,,,
1257,19000126,7,57,24,5,,,,
1258,19000126,8,57,31,5,,,,
1259,19000126,9,57,39,5,,,,
1260,19000126,10,57,47,,0,2,0,1
1261,19000127,1,57,3,5,,,,
1262,19000127,2,57,4,5,,,,
1263,19000127,3,57,6,5,,,,
1264,19000127,4,57,9,5,,,,
1265,19000127,5,57,13,,0,1,0,1
1266,19000127,6,57,18,5,,,,
1267,19000127,7,57,24,5,,,,
1268,19000127,8,57,31,5,,,,
1269,19000127,9,57,39,5,,,,
1270,19000127,10,57,47,,2,1,1,0
1271,19000128,1,57,3,5,,,,
1272,19000128,2,57,4,5,,,,
1273,19000128,3,57,6,5,,,,
1274,19000128,4,57,9,5,,,,
1275,19000128,5,57,13,,1,0,0,1
1276,19000128,6,57,18,5,,,,
1277,19000128,7,57,24,5,,,,
1278,19000128,8,57,31,5,,,,
1279,19000128,9,57,39,5,,,,
1280,19000128,10,57,47,,2,1,1,0
1281,19000129,1,57,3,5,,,,
1282,19000129,2,57,4,5,,,,
1283,19000129,3,57,6,5,,,,
1284,19000129,4,57,9,5,,,,
1285,19000129,5,57,13,,1,0,0,1
1286,19000129,6,57,18,5,,,,
1287,19000129,7,57,24,5,,,,
1288,19000129,8,57,31,5,,,,
1289,19000129,9,57,39,5,,,,
1290,19000129,10,57,47,,2,1,1,0
1291,19000130,1,57,3,5,,,,
1292,19000130,2,57,4,5,,,,
1293,19000130,3,57,6,5,,,,
1294,19000130,4,57,9,5,,,,
1295,19000130,5,57,13,,1,0,0,1
1296,19000130,6,57,18,5,,,,
1297,19000130,7,57,24,5,,,,
1298,19000130,8,57,31,5,,,,
1299,19000130,9,57,39,5,,,,
1300,19000130,10,57,47,,4,0,0,0
1301,19000131,1,57,3,5,,,,
1302,19000131,2,57,4,5,,,,
1303,19000131,3,57,6,5,,,,
1304,19000131,4,57,9,5,,,,
1305,19000131,5,57,13,,1,0,0,1
1306,19000131,6,57,18,5,,,,
1307,19000131,7,57,24,5,,,,
1308,19000131,8,57,31,5,,,,
1309,19000131,9,57,39,5,,,,
1310,19000131,10,57,47,,2,1,1,0
1311,19000132,1,57,3,5,,,,
1312,19000132,2,57,4,5,,,,
1313,19000132,3,57,6,5,,,,
1314,19000132,4,57,9,5,,,,
1315,19000132,5,57,13,,0,0,1,1
1316,19000132,6,57,18,5,,,,
1317,19000132,7,57,24,5,,,,
1318,19000132,8,57,31,5,,,,
1319,19000132,9,57,39,5,,,,
1320,19000132,10,57,47,,2,1,1,0
1321,19000133,1,57,3,5,,,,
1322,19000133,2,57,4,5,,,,
1323,19000133,3,57,6,5,,,,
1324,19000133,4,57,9,5,,,,
1325,19000133,5,57,13,,1,0,0,1
1326,19000133,6,57,18,5,,,,
1327,19000133,7,57,24,5,,,,
1328,19000133,8,57,31,5,,,,
1329,19000133,9,57,39,5,,,,
1330,19000133,10,57,47,,2,1,1,0
1331,19000134,1,57,3,5,,,,
1332,19000134,2,57,4,5,,,,
1333,19000134,3,57,6,5,,,,
1334,19000134,4,57,9,5,,,,
1335,19000134,5,57,13,,1,0,0,1
1336,19000134,6,57,18,5,,,,
1337,19000134,7,57,24,5,,,,
1338,19000134,8,57,31,5,,,,
1339,19000134,9,57,39,5,,,,
1340,19000134,10,57,47,,2,1,0,0
1341,19000135,1,57,3,5,,,,
1342,19000135,2,57,4,5,,,,
1343,19000135,3,57,6,5,,,,
1344,19000135,4,57,9,5,,,,
1345,19000135,5,57,13,,0,1,0,1
1346,19000135,6,57,18,5,,,,
1347,19000135,7,57,24,5,,,,
1348,19000135,8,57,31,5,,,,
1349,19000135,9,57,39,5,,,,
1350,19000135,10,57,47,,1,2,0,0
1351,19000136,1,57,3,5,,,,
1352,19000136,2,57,4,5,,,,
1353,19000136,3,57,6,5,,,,
1354,19000136,4,57,9,5,,,,
1355,19000136,5,57,13,,1,1,1,0
1356,19000136,6,57,18,5,,,,
1357,19000136,7,57,24,5,,,,
1358,19000136,8,57,31,5,,,,
1359,19000136,9,57,39,5,,,,
1360,19000136,10,57,47,,1,1,0,1
1361,19000137,1,57,3,5,,,,
1362,19000137,2,57,4,5,,,,
1363,19000137,3,57,6,5,,,,
1364,19000137,4,57,9,5,,,,
1365,19000137,5,57,13,,0,1,0,1
1366,19000137,6,57,18,5,,,,
1367,19000137,7,57,24,5,,,,
1368,19000137,8,57,31,5,,,,
1369,19000137,9,57,39,5,,,,
1370,19000137,10,57,47,,0,3,1,0
1371,19000138,1,57,3,5,,,,
1372,19000138,2,57,4,5,,,,
1373,19000138,3,57,6,5,,,,
1374,19000138,4,57,9,5,,,,
1375,19000138,5,57,13,,0,1,0,1
1376,19000138,6,57,18,5,,,,
1377,19000138,7,57,24,5,,,,
1378,19000138,8,57,31,5,,,,
1379,19000138,9,57,39,5,,,,
1380,19000138,10,57,47,,1,2,0,0
1381,19000139,1,57,3,5,,,,
1382,19000139,2,57,4,5,,,,
1383,19000139,3,57,6,5,,,,
1384,19000139,4,57,9,5,,,,
1385,19000139,5,57,13,,0,1,0,1
1386,19000139,6,57,18,5,,,,
1387,19000139,7,57,24,5,,,,
1388,19000139,8,57,31,5,,,,
1389,19000139,9,57,39,5,,,,
1390,19000139,10,57,47,,1,2,0,0
1391,19000140,1,57,3,5,,,,
1392,19000140,2,57,4,5,,,,
1393,19000140,3,57,6,5,,,,
1394,19000140,4,57,9,5,,,,
1395,19000140,5,57,13,,1,0,0,1
1396,19000140,6,57,18,5,,,,
1397,19000140,7,57,24,5,,,,
1398,19000140,8,57,31,5,,,,
1399,19000140,9,57,39,5,,,,
1400,19000140,10,57,47,,2,1,0,0
1401,19000141,1,57,3,5,,,,
1402,19000141,2,57,4,5,,,,
1403,19000141,3,57,6,5,,,,
1404,19000141,4,57,9,5,,,,
1405,19000141,5,57,13,,0,0,1,1
1406,19000141,6,57,18,5,,,,
1407,19000141,7,57,24,5,,,,
1408,19000141,8,57,31,5,,,,
1409,19000141,9,57,39,5,,,,
1410,19000141,10,57,47,,0,0,4,0
1411,19000142,1,57,3,5,,,,
1412,19000142,2,57,4,5,,,,
1413,19000142,3,57,6,5,,,,
1414,19000142,4,57,9,5,,,,
1415,19000142,5,57,13,,1,0,0,1
1416,19000142,6,57,18,5,,,,
1417,19000142,7,57,24,5,,,,
1418,19000142,8,57,31,5,,,,
1419,19000142,9,57,39,5,,,,
1420,19000142,10,57,47,,2,1,1,0
1421,19000143,1,57,3,5,,,,
1422,19000143,2,57,4,5,,,,
1423,19000143,3,57,6,5,,,,
1424,19000143,4,57,9,5,,,,
1425,19000143,5,57,13,,0,1,0,1
1426,19000143,6,57,18,5,,,,
1427,19000143,7,57,24,5,,,,
1428,19000143,8,57,31,5,,,,
1429,19000143,9,57,39,5,,,,
1430,19000143,10,57,47,,2,1,1,0
1431,19000144,1,57,3,5,,,,
1432,19000144,2,57,4,5,,,,
1433,19000144,3,57,6,5,,,,
1434,19000144,4,57,9,5,,,,
1435,19000144,5,57,13,,1,0,0,1
1436,19000144,6,57,18,5,,,,
1437,19000144,7,57,24,5,,,,
1438,19000144,8,57,31,5,,,,
1439,19000144,9,57,39,5,,,,
1440,19000144,10,57,47,,2,1,0,0
1441,19000145,1,57,3,5,,,,
1442,19000145,2,57,4,5,,,,
1443,19000145,3,57,6,5,,,,
1444,19000145,4,57,9,5,,,,
1445,19000145,5,57,13,,1,0,0,1
1446,19000145,6,57,18,5,,,,
1447,19000145,7,57,24,5,,,,
1448,19000145,8,57,31,5,,,,
1449,19000145,9,57,39,5,,,,
1450,19000145,10,57,47,,2,1,0,0
1451,19000146,1,57,3,5,,,,
1452,19000146,2,57,4,5,,,,
1453,19000146,3,57,6,5,,,,
1454,19000146,4,57,9,5,,,,
1455,19000146,5,57,13,,1,1,1,0
1456,19000146,6,57,18,5,,,,
1457,19000146,7,57,24,5,,,,
1458,19000146,8,57,31,5,,,,
1459,19000146,9,57,39,5,,,,
1460,19000146,10,57,47,,1,1,0,1
1461,19000147,1,57,3,5,,,,
1462,19000147,2,57,4,5,,,,
1463,19000147,3,57,6,5,,,,
1464,19000147,4,57,9,5,,,,
1465,19000147,5,57,13,,0,0,1,1
1466,19000147,6,57,18,5,,,,
