ID,技能名,描述,战斗回合高于X时,战斗回合低于X时,己方战力高于X%时,己方战力低于X%时,敌方战力高于X%时,敌方战力低于X%时,上回合是否击中（1击中2未命中3敌方命中4敌方未命中）,敌我血量高低判断（1.我方高于敌方2.我方低于敌方3我方等于敌方）,Y发动概率,次数限制,技能效果,Z参数,参数2,命中生效,己方四维变化,敌方四维变化,修改回合数,虚弱,无法闪避,无视防御,封印技能效果,封印回合,封印x概率以上,封印x概率以下,动画id,增加四维先攻,增加四维防御,增加四维闪避,增加四维王者
1700031,末日魂吸·改,12%概率发动一次120%伤害的攻击，该攻击无法闪避，攻击后吸收本次伤害40%的伤害。,,,,,,,,,12,6,8,40,120,,,,,,1,,,,,,38,0,0,0,0
1700032,真·末日魂吸,12%概率发动一次140%伤害的攻击，该攻击无法闪避，攻击后吸收本次伤害50%的伤害。,,,,,,,,,12,6,8,50,140,,,,,,1,,,,,,38,0,0,0,0
1700033,极·末日魂吸,12%概率发动一次150%伤害的攻击，该攻击无法闪避，攻击后吸收本次伤害60%的伤害。,,,,,,,,,12,6,8,60,150,,,,,,1,,,,,,38,0,0,0,0
1700034,空间利用,己方血量高于200%，15%概率发动，恢复25%的当前战力，发动后提高王者10点。己方血量低于101%，10%概率造成一次120%的纯粹伤害，攻击后吸收本次伤害100%的战力（只发动一次）。闪避提高10，王者提高10,,,,101,,,,,10,1,8,100,120,,,,,,1,1,,,,,38,0,0,10,10
1800001,忠义之刺,12%概率发动，在攻击后恢复20%的当前战力。,,,,,,,,,12,4,9,20,,,,,,,,,,,,,140,0,0,0,0
1800002,元素神圣,11%概率发动，在攻击后恢复11%的当前战力。,,,,,,,,,11,4,9,11,,,,,,,,,,,,,140,0,0,0,0
1800003,自然祝福,13%概率发动，在攻击后恢复15%的当前战力。,,,,,,,,,13,4,9,15,,,,,,,,,,,,,138,0,0,0,0
1800004,技能有两种,15%概率发动，在攻击后恢复12%的当前战力。,,,,,,,,,15,4,9,12,,,,,,,,,,,,,138,0,0,0,0
1800005,暴乱念动力,25%概率发动，在攻击后恢复16%的当前战力。,,,,,,,,,25,4,9,16,,,,,,,,,,,,,139,0,0,0,0
1800006,噩梦突袭,怪物技能,,,,,,,,,25,4,9,16,,,,,,,,,,,,,138,0,0,0,0
1800007,大略暴风雨（弃用）,15%概率发动，在攻击后恢复35%的当前战力。防御等级提高5。,,,,,,,,,15,4,9,35,,,,,,,,,,,,,47,0,0,0,0
1800008,万花雨扇·发,80%概率发动，在攻击后恢复10%的当前战力。,,,,,,,,,80,1,9,10,,,,,,,,,,,,,138,0,0,0,0
1800009,蛮荒神启,4%概率发动，在攻击后恢复40%的当前战力。,,,,,,,,,4,1,9,40,,,,,,,,,,,,,104,0,0,0,0
1800010,发芽,怪物技能,,,,,,,,,30,4,9,40,,,,,,,,,,,,,83,0,0,0,0
1800011,疯狂生长,怪物技能,,,,,,,,,30,4,9,50,,,,,,,,,,,,,83,0,0,0,0
1800012,完美生长,怪物技能,,,,,,,,,30,4,9,60,,,,,,,,,,,,,83,0,0,0,0
1800013,教会我长大,4%概率发动，在攻击后恢复26%的当前战力。,,,,,,,,,4,4,9,26,,,,,,,,,,,,,139,0,0,0,0
1800014,三羊开泰,2%概率发动，在攻击后恢复41%的当前战力。该技能无法闪避。,,,,,,,,,2,1,9,41,,,,,,,1,,,,,,138,0,0,0,0
1800015,大蛇之荒,,,,,30,,,,,5,4,9,120,,,,,,,1,1,,,,,115,0,0,0,0
1800016,王之军势,6%概率发动，在攻击后恢复38%的当前战力。此攻击击中敌人时，敌人发动概率高于7%的技能被封印1回合。,,,,,,,,,6,4,9,38,,1,,,,,,,,1,7,,112,0,0,0,0
1800017,升级！,若上一回合未被敌方击中，100%概率发动，在攻击后恢复40%的当前战力。,2,,,,,,4,,100,99,9,40,,,,,,,,,,,,,104,0,0,0,0
1800018,纤云弄巧,10%概率发动，在攻击后恢复30%的当前战力。此攻击击中敌人时，敌人发动概率高于6%的技能被封印1回合。（部分怪物技能无法被封印）,,,,,,,,,10,4,9,30,,1,,,,,,,,1,6,101,112,0,0,0,0
1800019,热爱电竞,20%概率发动，在攻击后恢复20%的当前战力。防御等级提高4，闪避等级提高4。,,,,,,,,,20,15,9,20,,,,,,,,,,,,,47,0,0,0,0
1800020,漆黑符咒,怪物技能,,,,,,,,,60,99,9,45,,,,,,,1,1,,,,,104,0,0,0,0
1800021,绝唱空城,怪物技能,,,,,,,,,100,1,9,-40,,1,,,,3,1,,,,,,103,0,0,0,0
1800022,大宇云天,怪物技能,,,,,,,,,100,2,9,40,,1,,,,1,,,,,,,113,0,0,0,0
1800023,双股剑,怪物技能,,,,,,,,,40,10,9,35,,,,,,,1,,,,,,132,0,0,0,0
1800024,圣光护佑,己方战力高于40%时，6%概率发动，在攻击后恢复40%的当前战力。防御等级提高5，闪避等级提高5。,,,40,,,,,,6,3,9,40,,,,,,,,,,,,,103,0,0,0,0
1800025,善变的猫,己方战力高于100%时，8%概率发动，在攻击后恢复20%的当前战力。己方战力低于于100%时，4%概率发动，在攻击后恢复20%的总战力。,,,100,,,,,,8,4,9,20,,,,,,,,,,,,,112,0,0,0,0
1800026,治疗之环,己方战力高于50%，12%概率发动，在攻击后恢复30%的当前战力，己方战力低于50%时，6%概率发动，在攻击后恢复30%的总战力。,,,50,,,,,,12,2,9,30,,,,,,,,,,,,,112,0,0,0,0
1800027,天空之剑,高于20回合时，10%概率发动，在攻击后提高己方战力，提高值是己方50%的当前战力。,20,,,,,,,,10,7,9,50,,,,,,,,,,,,,103,0,0,0,0
1800028,机车万岁,5%概率发动，在攻击后恢复35%的当前战力。该技能无法闪避。此攻击击中敌人时，敌人发动概率低于6%的技能被封印1回合。,,,,,,,,,5,4,9,35,,,,,,,1,,,1,,6,104,0,0,0,0
1800029,对弈之道,己方战力高于30%且高于敌方战力时，8%概率发动，在攻击后恢复20%的当前战力。己方战力低于敌方战力且敌方战力高于30%时，15%概率发动，在攻击后提高战力，提高值是敌方20%当前战力。闪避等级提高5。,,,30,,,,,1,8,5,9,20,,,,,,,,,,,,,104,0,0,0,0
1800030,破尽万法,回合数小于8的时候，13%概率发动一次100%纯粹攻击，攻击后提高己方18%总战力，命中后王者提高15点。,,8,,,,,,,13,3,9,18,,1,0|0|0|15,,,,1,1,,,,,112,0,0,0,0
1800031,天女舞,己方战力高于80%，10%概率发动一次无法闪避的攻击，命中后恢复30%己方当前血量，封印根据敌方当前血量提高战力技能1回合，回合数+15。防御等级提高5，闪避等级提高5。,,,80,,,,,,10,6,9,30,,1,,,15,,1,,11,1,,,104,0,0,0,0
1800032,消灭魔星,战斗回合小于5的时候，10%概率发动一次攻击，该攻击无法闪避，攻击后提高己方战力，提高值是己方20%当前战力。闪避等级增加10点。,,5,,,,,,,10,3,9,20,,,,,,,1,,,,,,103,0,0,0,0
1800033,昏睡剑,7%概率发动，在攻击后扣除自己40%的当前战力，该攻击无法闪避，此攻击击中敌人时，敌人的下两次攻击只会造成1点伤害。王者等级提高2。,,,,,,,,,7,1,9,-40,,1,,,,2,1,,,,,,112,0,0,0,0
1800034,调率者,己方战力高于40%时，15%概率发动，在攻击后恢复25%的当前战力。技能发动后，己方闪避增加5，对方闪避减低20。,,,40,,,,,,15,6,9,25,,,0|0|5|0,0|0|-20|0,,,,,,,,,104,0,0,0,0
1800035,万能卡片,己方战力高于30%，8%概率发动，恢复35%的当前战力。己方战力低于30%，10%概率发动“防御圈”，攻击不可闪避，攻击后敌方回复敌方当前100%的战力，敌方的下两次攻击只会造成1点伤害。闪避等级提高8。,,,30,,,,,,8,6,9,35,,,,,,,,,,,,,103,0,0,0,0
1800036,那朵花,敌方血量高于50%，15%概率发动，攻击后提高己方战力，提高值是敌方20%的当前战力。己方血量高于50%，15%概率发动“那朵花”，在攻击后恢复20%的当前战力。闪避等级提高15.,,,50,,,,,,15,4,9,20,,,,,,,,,,,,,112,0,0,0,0
1800037,空间扭曲,己方血量高于200%，15%概率发动，恢复25%的当前战力，发动后提高王者等级10。己方血量低于101%，10%概率造成一次120%的纯粹伤害，攻击后吸收本次伤害100%的战力。闪避提高10，王者提高10,,,200,,,,,,15,10,9,25,,,0|0|0|10,,,,,,,,,,112,0,0,0,0
1800038,落月断镜花,己方战力高于50%，10%概率发动，恢复30%的当前战力，该攻击不可闪避，命中后，己方闪避增加15，防御增加15，敌方闪避减低20，敌方“根据敌方当前血量回复”类技能被封印2回合。防御提高7，闪避提高7。,,,50,,,,,,10,5,9,30,,,0|15|15|0,0|0|-20|0,,,1,,11,2,,,112,0,7,7,0
1900001,感慨人生,4%概率发动，在攻击后恢复10%的总战力。听听老年人的话，你会有所收获呀。,,,,,,,,,4,4,10,10,,,,,,,,,,,,,138,0,0,0,0
1900002,生产牛奶,3%概率发动，在攻击后恢复12%的总战力。多喝牛奶身体棒。,,,,,,,,,3,4,10,12,,,,,,,,,,,,,138,0,0,0,0
1900003,骑士战歌,6%概率发动，在攻击后恢复10%的总战力。,,,,,,,,,6,4,10,10,,,,,,,,,,,,,147,0,0,0,0
1900004,生命之雨,5%概率发动，在攻击后恢复25%的总战力。,,,,,,,,,5,4,10,25,,,,,,,,,,,,,138,0,0,0,0
1900005,心灵之泉,12%概率发动，在攻击后恢复11%的总战力。,,,,,,,,,12,4,10,11,,,,,,,,,,,,,31,0,0,0,0
1900006,闪耀加护,10%概率发动，在攻击后恢复17%的总战力。,,,,,,,,,10,4,10,17,,,,,,,,,,,,,30,0,0,0,0
1900007,上古神秘之力,己方战力低于25%时80%概率发动，在攻击后恢复60%的总战力。,,,,25,,,,,80,1,10,60,,,,,,,,,,,,,61,0,0,0,0
1900008,汤圆之力,1%概率发动，在攻击后恢复100%的总战力。多吃汤圆。,,,,,,,,,1,1,10,100,,,,,,,,,,,,,70,0,0,0,0
1900009,自检修代码,己方战力低于50%时30%概率发动，在攻击后恢复20%的总战力。,,,,50,,,,,30,1,10,20,,,,,,,,,,,,,138,0,0,0,0
1900010,神策,7%概率发动，在攻击后恢复15%的总战力。此攻击击中敌人时，敌人发动概率高于7%的技能被封印1回合（发动率高于45%的技能豁免）。,,,,,,,,,7,4,10,15,,1,,,,,,,,1,7,45,109,0,0,0,0
1900011,不死魔女,3%概率发动，在攻击后恢复35%的总战力。,,,,,,,,,3,4,10,35,,,,,,,,,,,,,78,0,0,0,0
1900012,巨人之力,2%概率发动，在攻击后恢复42%的总战力。,,,,,,,,,2,1,10,42,,,,,,,,,,,,,114,0,0,0,0
1900013,传说二人组,当己方生命低于13%时，30%概率发动，在攻击后恢复28%的总战力。,,,,13,,,,,30,3,10,28,,,,,,,,,,,,,114,0,0,0,0
1900014,节操满地,8%概率发动，在攻击后恢复16%的总战力。,,,,,,,,,8,10,10,16,,,,,,,,,,,,,105,0,0,0,0
1900015,影分身,2%概率发动，在攻击后恢复32%的总战力。,,,,,,,,,2,2,10,32,,,,,,,,,,,,,92,0,0,0,0
1900016,变身,怪物技能 生命值*10,,,,,,,,,100,1,10,900,,,,,,,,,,,,,85,0,0,0,0
1900017,二段变身,怪物技能,,,,,,25,,,100,1,10,9000,,,,,,,,,,,,,86,0,0,0,0
1900018,政母大人,5%概率发动，在攻击后恢复21%的总战力。,,,,,,,,,5,4,10,21,,,,,,,,,,,,,139,0,0,0,0
1900019,骄傲的长公主,5%概率发动，在攻击后恢复12%的总战力。,,,,,,,,,5,4,10,12,,,,,,,,,,,,,149,0,0,0,0
1900020,祝福之铃,2%概率发动，在攻击后恢复31%的总战力。,,,,,,,,,2,4,10,31,,,,,,,,,,,,,159,0,0,0,0
1900021,奇迹突进,己方战力低于150%时，12%概率发动，在攻击后恢复17%的总战力。,,,,150,,,,,12,1,10,17,,,,,,,,,,,,,160,0,0,0,0
1900022,顽石生长,15%概率发动，在攻击后恢复36%的总战力。,,,,,,,,,15,2,10,36,,,,,,,,,,,,,139,0,0,0,0
1900023,九阴真经,怪物技能,,,,101,,,,,100,3,10,55,,,,,,,,,,,,,178,0,0,0,0
1900024,大略暴风雨,8%概率发动，在攻击后恢复30%的总战力。防御等级提高5。,,,,,,,,,8,4,10,30,,,,,,,,,,,,,47,0,0,0,0
1900025,王之理想乡,3%概率发动，在攻击后恢复50%的总战力。防御等级提高10。,,,,,,,,,3,4,10,50,,,,,,,,,,,,,47,0,0,0,0
1900026,魔王与魔女,5%概率发动，在攻击后恢复40%的总战力。防御等级提高6，闪避等级提高6。,,,,,,,,,5,4,10,40,,,,,,,,,,,,,47,0,0,0,0
1900027,奔月,战斗回合高于8回时，15%概率发动，在攻击后恢复30%的总战力。,8,,,,,,,,15,1,10,30,,,,,,,,,,,,,92,0,0,0,0
1900028,守护者之力1,100%概率发动，在攻击后恢复17%的总战力。该攻击无法闪避。,,,,,,,,,100,10,10,17,,,,,,,1,,,,,,189,0,0,0,0
1900029,守护者之护2,40%概率发动，在攻击后恢复28%的总战力。该攻击无视防御。,,,,,,,,,40,10,10,28,,,,,,,,1,,,,,144,0,0,0,0
1900030,理想乡,若上回合未击中敌人，100%概率发动，在攻击后恢复60%的总战力。（该技能无法被封印）,2,,,,,,2,,110,10,10,60,,,,,,,,,,,,,117,0,0,0,0
1900031,剑鞘,100%概率发动，在攻击后恢复20%的总战力。（该技能无法被封印）,,,,,,,,,110,10,10,20,,,,,,,,,,,,,118,0,0,0,0
1900032,隆中对,怪物技能,,,,,,,,,100,2,10,25,,,,,,,,,,,,,139,0,0,0,0
1900033,续命,怪物技能,,,,,,,,,100,10,10,15,,,,,,,1,1,,,,,139,0,0,0,0
1900034,零技之础,4%概率发动，在攻击后恢复28%的总战力。己方战力低于20%，2%概率发动三籁之布阵，在攻击后恢复35%的总战力，三籁之布阵击中敌人时，敌人发动概率低于5%的技能被封印1回合。,,,,,,,,,4,4,10,28,,,,,,,,,,,,,92,0,0,0,0
1900035,三籁之布阵,,,,,20,,,,,2,4,10,35,,1,,,,,,,,1,,5,92,0,0,0,0
1900036,不屈斗志,己方战力低于20%时，10%概率发动，在攻击后恢复35%的总战力。,,,,20,,,,,10,4,10,35,,,,,,,,,,,,,189,0,0,0,0
1900037,先发制人,战斗回合低于5回时，5%概率发动，在攻击后恢复25%的总战力。,,5,,,,,,,5,4,10,25,,,,,,,,,,,,,118,0,0,0,0
1900038,常伴吾身,2%概率发动，在攻击后恢复40%的总战力。闪避等级提高8。,,,,,,,,,2,4,10,40,,,,,,,,,,,,,117,0,0,0,0
1900039,善变的猫,己方战力高于100%时，8%概率发动，在攻击后恢复20%的当前战力。己方战力低于于100%时，4%概率发动，在攻击后恢复20%的总战力。,,,,100,,,,,4,4,10,20,,,,,,,,,,,,,112,0,0,0,0
1900040,守护手镯,己方战力高于50%时，7%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。己方战力低于50%时，4%的概率发动技能“守护手镯”，在攻击后恢复25%的总战力。先攻等级提高10。,,,,50,,,,,4,4,10,25,,,,,,,,,,,,,189,0,0,0,0
1900041,身体改造,战斗回合低于7回时，3%概率发动，在攻击后恢复35%的总战力。战斗回合高于6回时，5%概率造成暴击，暴击时造成220%的伤害且对方无法闪避。王者等级提高2。,,7,,,,,,,3,4,10,35,,,,,,,,,,,,,117,0,0,0,0
1900042,真.治疗之环,己方战力高于50%，12%概率发动，在攻击后恢复30%的当前战力，己方战力低于50%时，6%概率发动，在攻击后恢复30%的总战力。,,,,50,,,,,6,2,10,30,,,,,,,,,,,,,117,0,0,0,0
1900043,S.L.B,己方战力低于300%时，6%概率发动，在攻击后恢复30%的总战力。己方战力高于300%时，6%概率触发一次108%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,301,,,,,6,4,10,30,,,,,,,,,,,,,117,0,0,0,0
1900044,视线诱导,4%概率发动，在攻击后恢复32%的总战力。己方战力低于20%，2%概率发动逆向视线诱导，在攻击后恢复40%的总战力，逆向视线诱导击中敌人时，敌人发动概率低于5%的技能被封印1回合。,,,20,,,,,,4,4,10,32,,,,,,,,,,,,,92,0,0,0,0
1900045,逆向视线诱导,,,,,20,,,,,2,4,10,40,,1,,,,,,,,1,,5,92,0,0,0,0
1900046,鬼之守护,己方战力低于20%时，20%概率发动，在攻击后恢复30%的总战力。,,,,20,,,,,20,1,10,30,,,,,,,,,,,,,61,0,0,0,0
1900047,泪水,己方战力低于20%，30%概率发动，在攻击后恢复15%的总战力，该攻击无法闪避。此攻击击中敌人时，敌人的下一次攻击只会造成1点伤害。闪避等级提高5。,,,,20,,,,,30,1,10,15,,1,,,,1,1,,,,,,139,0,0,0,0
1900048,塔主续1S,回合数高于12，己方战力低于200%时，必定发动，在攻击后恢复80%的总战力，这个攻击无法闪避也无法减少伤害。,12,,,200,,,,,110,99,10,80,,,,,,1,1,,,,,,118,0,0,0,0
1900049,小樱牌,己方战力低于150%时，10%概率发动一次100%的纯粹伤害，攻击后提高己方战力，提高值是己方30%总战力。防御等级提高5。,,,,150,,,,,10,2,10,30,,,,,,,1,1,,,,,61,0,0,0,0
1900050,破尽万法,回合数小于8的时候，13%概率发动一次100%纯粹攻击，攻击后提高己方18%总战力，命中后王者提高15点。,,8,,,,,,,13,3,10,18,,1,0|0|0|15,,,,1,1,,,,,92,0,0,0,0
1900051,邪恶追捕,6%概率发动，攻击后提高己方战力，提高值是己方18%总战力，该攻击无法闪避，回合数+8，命中后虚弱对方1回合。使用次数1次。,,,,,,,,,6,1,10,18,,1,,,8,1,1,,,,,,61,0,0,0,0
1900052,心灵之泉·改,12%概率发动，在攻击后恢复14%的总战力，该攻击无法闪避。,,,,,,,,,12,4,10,14,,,,,,,1,,,,,,31,0,0,0,0
1900053,真·心灵之泉,12%概率发动，在攻击后恢复18%的总战力，该攻击无法闪避。,,,,,,,,,12,4,10,18,,,,,,,1,,,,,,31,0,0,0,0
1900054,极·心灵之泉,12%概率发动，在攻击后恢复25%的总战力，该攻击无法闪避。,,,,,,,,,12,4,10,25,,,,,,,1,,,,,,31,0,0,0,0
1900055,火之剑技（弃）,己方战力低于50%时，10%概率发动，在攻击后恢复15%的总战力，该攻击无法闪避，此攻击击中敌人时，敌人的所有技能被封印1回合。,,,,50,,,,,10,1,10,15,,1,,,,,1,,,1,,101,118,0,0,0,0
1900056,自我回复,8%概率发动，在攻击后恢复30%的总战力。防御等级提高5，闪避等级提高5。,,,,,,,,,8,4,10,30,,,,,,,,,,,,,92,0,0,0,0
1900057,折射灵丸,回合数为1，1%概率造成一次600%暴击伤害，命中后敌方下次伤害为1。回合数大于1，15%概率造成110%的纯粹伤害并恢复己方总血量20%，封印敌方“根据己方当前血量”恢复类技能2回合（只发动一次）。先攻等级10，王者等级10,1,,,,,,,,15,1,10,20,110,1,,,,,1,1,9,2,,,34,10,0,0,10
2000001,镜像实体,复制一些敌人加入我方。7%概率发动，在攻击后提高己方战力，提高值是敌方13%的当前战力。,,,,,,,,,7,4,11,13,,,,,,,,,,,,,139,0,0,0,0
2000002,无常之水,8%概率发动，在攻击后提高己方战力，提高值是敌方13%的当前战力。在攻击时，敌人仿佛看见了他自己。,,,,,,,,,8,4,11,13,,,,,,,,,,,,,139,0,0,0,0
2000003,原始神圣,20%概率发动，在攻击后提高己方战力，提高值是敌方13%的当前战力。,,,,,,,,,20,4,11,13,,,,,,,,,,,,,174,0,0,0,0
2000004,时间洪流,怪物技能,,,,,,,,,40,4,11,15,,,,,,,,,,,,,191,0,0,0,0
2000005,星辰征服者,20%概率发动，在攻击后提高己方战力，提高值是敌方15%的当前战力。,,,,,,,,,20,4,11,15,,,,,,,,,,,,,173,0,0,0,0
2000006,烟囱王,偶尔会爬进烟囱的怪老头，10%概率发动，在攻击后提高己方战力，提高值是敌方18%的当前战力。防御等级提高3,,,,,,,,,10,4,11,18,,,,,,,,,,,,,181,0,0,0,0
2000007,双翼风雷,10%概率发动，在攻击后提高己方战力，提高值是敌方12%的当前战力。此攻击击中敌人时，敌人发动率高于8%的技能被封印1回合。（发动率高于15%的技能豁免）,,,,,,,,,10,4,11,12,,1,,,,,,,,1,8,16,139,0,0,0,0
2000008,时尚浪潮,30%概率发动，在攻击后提高己方战力，提高值是敌方20%的当前战力。此攻击击中敌人时，敌人发动率低于10%的技能被封印1回合。,,,,,,,,,30,1,11,20,,1,,,,,,,,1,,10,174,0,0,0,0
2000009,九段变形,18%概率发动，在攻击后提高己方战力，提高值是敌方22%的当前战力。,,,,,,,,,18,6,11,22,,,,,,,,,,,,,92,0,0,0,0
2000010,暗淡锋芒,怪物技能,,,,,,,,,10,3,11,25,,1,,,,,,,,1,5,,191,0,0,0,0
2000011,力挽狂澜,9%概率发动，在攻击后提高己方战力，提高值是敌方25%的当前战力。闪避等级提高5，防御等级提高5。,,,,,,,,,9,6,11,25,,,,,,,,,,,,,47,0,0,0,0
2000012,百战不殆,100%概率发动，在攻击后提高己方战力，提高值是敌方25%的当前战力。（该技能无法被封印）,,,,,,,,,110,99,11,25,,,,,,,,,,,,,139,0,0,0,0
2000013,永恒胜利,若上回合未击中敌人，100%概率发动，在攻击后提高己方战力，提高值是敌方50%的当前战力。（该技能无法被封印）,2,,,,,,2,,110,99,11,50,,,,,,,,,,,,,139,0,0,0,0
2000014,高速反物质粒子,15%概率发动，在攻击后提高己方战力，提高值是敌方23%的当前战力。,,,,,,,,,15,5,11,23,,,,,,,,,,,,,47,0,0,0,0
2000015,自然滋养,40%概率触发，提高敌方25%的当前战力,,,,,,,,,40,99,11,25,,,,,,,,,,,,,139,0,0,0,0
2000016,对弈之道,,,,,,30,,,2,15,5,11,20,,,,,,,,,,,,,47,0,0,0,0
2000017,与狼共舞,敌方血量高于120%时，10%概率发动一次攻击，攻击后提高己方战力，提高值是敌方30%当前战力。 ,,,,,120,,,,10,6,11,30,,,,,,,,,,,,,139,0,0,0,0
2000018,星灵超魔法,己方战力高于50%时，8%概率触发一次100%的纯粹伤害，命中后提高己方战力，提高值是25%己方当前战力，命中提高闪避15点。王者等级提高4。,,,50,,,,,,8,6,9,25,,1,0|0|15|0,,,,1,1,,,,,139,0,0,0,0
2000019,极.诸王的王座,敌方战力低于200%，5%概率触发一次125%伤害的纯粹攻击。敌方战力高于200%，20%概率发动“山河社稷图”，攻击后提高己方战力，提高值是敌方25%的当前战力，技能发动后双方方闪避等级减低25，敌人的下一次攻击只能造成1点伤害。,,,,,200,,,,20,6,11,25,,1,0|0|-25|0,0|0|-25|0,,1,1,,,,,,191,0,0,0,0
2000020,混沌降阶,己方血量低于80%，20%概率发动一次80%纯粹伤害，攻击后提高己方战力，提高值是敌方25%的当前战力，此攻击击中敌人时，自己的王者等级提高25，敌人的下一次攻击只会造成1点伤害。,,,,80,,,,,20,1,11,25,80,1,0|0|0|25,,,1,1,1,,,,,92,0,0,0,0
2000021,超平和busters,敌方血量高于50%，15%概率发动，攻击后提高己方战力，提高值是敌方20%的当前战力。己方血量高于50%，15%概率发动“勿忘我”，在攻击后恢复20%的当前战力。闪避等级提高15.,,,,,50,,,,15,4,11,20,,,,,,,,,,,,,47,0,0,15,0
2000022,响转,敌方战力高于150%时，20%概率发动，攻击后提高己方战力，提高值是敌方25%的当前战力。技能发动后回合数+10。闪避提高10,,,,,150,,,,20,6,11,25,,,,,10,,,,,,,,92,0,0,10,0
2100001,自然协调,12%概率发动，在攻击后提高己方战力，提高值是敌方5%的总战力。,,,,,,,,,12,4,12,5,,,,,,,,,,,,,138,0,0,0,0
2100002,噩梦凝视,14%概率发动，在攻击后提高己方战力，提高值是敌方5%的总战力。,,,,,,,,,14,4,12,5,,,,,,,,,,,,,179,0,0,0,0
2100003,剑之禁断,6%概率发动，在攻击后提高己方战力，提高值是敌方10%的总战力。,,,,,,,,,6,4,12,10,,,,,,,,,,,,,167,0,0,0,0
2100004,百万重力,30%概率发动，在攻击后提高己方战力，提高值是敌方9%的总战力。,,,,,,,,,30,4,12,9,,,,,,,,,,,,,54,0,0,0,0
2100005,黑暗复原,怪物技能,,,,50,,,,,30,1,12,40,,,,,,,,,,,,,56,0,0,0,0
2100006,时间溯行,8%概率发动，在攻击后提高己方战力，提高值是敌方15%的总战力。闪避等级提高9。,,,,,,,,,8,4,12,15,,,,,,,,,,,,,82,0,0,0,0
2100007,大命鬼谋,己方战力低于15%时，10%概率发动，在攻击后提高己方战力，提高值是敌方14%的总战力。,,,,15,,,,,10,4,12,14,,,,,,,,,,,,,167,0,0,0,0
2100008,再嫁,13%概率发动，在攻击后提高己方战力，提高值是敌方6%的总战力。,,,,,,,,,13,4,12,6,,,,,,,,,,,,,20,0,0,0,0
2100009,kiss,8%概率发动，在攻击后提高己方战力，提高值是敌方10%的总战力。,,,,,,,,,8,15,12,10,,,,,,,,,,,,,20,0,0,0,0
2100010,天选之王,5%概率发动，在攻击后提高己方战力，提高值是敌方12%的总战力。闪避等级提高6。,,,,,,,,,5,4,12,12,,,,,,,,,,,,,82,0,0,0,0
2100011,捣药,5%概率发动，在攻击后提高己方战力，提高值是敌方20%的总战力。闪避等级提高6，防御等级提高3。,,,,,,,,,5,4,12,20,,,,,,,,,,,,,82,0,0,0,0
2100012,船医上船,己方战力低于20%时50%概率发动，在攻击后提高己方战力，提高值是敌方20%的总战力。,,,,20,,,,,50,1,12,20,,,,,,,,,,,,,92,0,0,0,0
2100013,义贼团,8%概率发动，在攻击后提高己方战力，提高值是敌方8%的总战力。,,,,,,,,,8,15,12,8,,,,,,,,,,,,,20,0,0,0,0
2100014,凤凰复生,8%概率发动，在攻击后提高己方战力，提高值是敌方13%的总战力。,,,,,,,,,8,8,12,13,,,,,,,,,,,,,20,0,0,0,0
2100015,无定,3%概率发动，在攻击后提高己方战力，提高值是敌方25%的总战力。闪避等级提高3，王者等级提高3。,,,,,,,,,3,4,12,25,,,,,,,,,,,,,54,0,0,0,0
2100016,火之剑技,己方战力低于50%时，10%概率发动，在攻击后提高己方战力，提高值是敌方15%的总战力。该攻击无法闪避，此攻击击中敌人时，敌人的所有技能被封印1回合。,,,,50,,,,,10,1,12,15,,1,,,,,1,,,1,,101,167,0,0,0,0
2200001,荆棘缠绕,5%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,,,,5,10,13,100,,,,,,,1,1,,,,,40,0,0,0,0
2200002,永恒梦境,敌方战力低于60%时，8%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,60,,,8,10,13,100,,,,,,,1,1,,,,,39,0,0,0,0
2200003,诸神黄昏,8%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,,,,8,1,13,100,,,,,,,1,1,,,,,49,0,0,0,0
2200004,必灭的黄蔷薇,6%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,,,,6,1,13,100,,,,,,,1,1,,,,,35,0,0,0,0
2200005,染血之瞳,8%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,,,,8,1,13,100,,,,,,,1,1,,,,,50,0,0,0,0
2200006,赫格尼之剑 ,10%概率触发一次108%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,,,,10,1,13,108,,,,,,,1,1,,,,,51,0,0,0,0
2200007,契约之咏唱,战斗回合高于6时，50%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,6,,,,,,,,50,10,13,100,,,,,,,1,1,,,,,52,0,0,0,0
2200008,扭曲虚空,怪物技能,,,,,,,,,30,10,13,100,,,,,,,1,1,,,,,55,0,0,0,0
2200009,水袖乾坤,4%概率触发一次100%伤害的纯粹攻击，这个攻击无法闪避也无法减少伤害。,,,,,,,,,4,10,13,100,,,,,,,1,1,,,,,190,0,0,0,0
