ID,事件名,事件描述,事件等级,Mercenary ID,任务类型（1，战斗任务 2，道具任务 3，资源任务 4，纯事件）,怪物组ID,战斗怪物组,需求道具,货币类型,需求数量,失败冷却（单位秒）,奖励组,掉落次数
1000261,战斗事件,#2#接下来，你的防御将失效#1#What？！#2#呵呵呵，所有防御都失效的话，你还能不能继续前进呢,,13000004,1,1000261,,,1,519,2,100026100,1
1000262,战斗事件,#1#你也是无视防御的吗#2#是，从来没有人能抵挡住奴家的魅力,,18000043,1,1000262,,,1,519,2,100026200,1
1000263,战斗事件,#2#仿佛兮若轻云之蔽月，飘飖兮若流风之回雪……#1#啊啊啊啊！你对我做了什么！！#2#只不过让你的防御失效了而已,,18000034,1,1000263,,,1,519,2,100026300,1
1000264,战斗事件,#1#喂，别拿你的枪扎我呀#2#不扎你怎么破你防，所有的防御在我面前都是无用的,,17000011,1,1000264,,,1,519,2,100026400,1
1000265,战斗事件,#1#骑士的防御你也可以破坏吗#2#没错#1#你们不是讨厌黑魔法的嘛！你这是和梅林学的吗！,,22000002,1,1000265,,,1,519,2,100026500,1
1000266,战斗事件,#2#接下来，你的防御将失效#1#What？！#2#呵呵呵，所有防御都失效的话，你还能不能继续前进呢,,13000004,1,1000266,,,1,571,2,100026600,1
1000267,战斗事件,#1#你也是无视防御的吗#2#是，从来没有人能抵挡住奴家的魅力，而奴家自己的心却被层层包裹#1#意思是你自己的防御很高吗？,,18000043,1,1000267,,,1,571,2,100026700,1
1000268,战斗事件,#2#仿佛兮若轻云之蔽月，飘飖兮若流风之回雪……#1#啊啊啊啊！你对我做了什么！！#2#只不过让你的防御失效了而已,,18000034,1,1000268,,,1,571,2,100026800,1
1000269,战斗事件,#1#喂，别拿你的枪扎我呀#2#不扎你怎么破你防，所有的防御在我面前都是无用的,,17000011,1,1000269,,,1,571,2,100026900,1
1000270,战斗事件,#1#骑士的防御你也可以破坏吗#2#没错#1#你们不是讨厌黑魔法的嘛！你这是和梅林学的吗！,,22000002,1,1000270,,,1,571,2,100027000,1
1000271,战斗事件,#2#那个，谁看见我的眼镜了吗？没有眼镜怎么答题啊！,,16000010,1,1000271,,,1,639,2,100027100,1
1000272,战斗事件,#1#那个，你看见新八的眼镜了吗？#2#嘘，别说，我拿走了。看别人对答如流还不如全部毁掉阿鲁,,18000012,1,1000272,,,1,639,2,100027200,1
1000273,战斗事件,#2#阿银，快来，我的小抄已经饥渴难耐了！我把答案抄在（哔）上了，快抄快抄～,,16000012,1,1000273,,,1,639,2,100027300,1
1000274,战斗事件,#2#抄p啊！你这个变态女。我才不需要抄，天然卷在考试的时候可都是会爆发潜力的！,,19000007,1,1000274,,,1,639,2,100027400,1
1000275,战斗事件,#2#哼哼哼，你们这样小看我可不行喔。要说野兽，我也有啊。它的名字叫答案。,,19000020,1,1000275,,,1,639,2,100027500,1
1000276,战斗事件,#2#（中指推眼镜）真相往往不是那么容易看清。#1#什么是真相？#2#其实我是吸血鬼，10回合后我将让你见识到我的强大,,16000010,1,1000276,,,1,703,2,100027600,1
1000277,战斗事件,#1#那个，可以下手轻点吗？#2#以我的战斗力怎么可能会比新吧唧还轻呢阿鲁，现已加入吸血鬼家族豪华套餐阿鲁,,18000012,1,1000277,,,1,703,2,100027700,1
1000278,战斗事件,#2#你知道抖m的最高奥义是什么吗？#1#不知道#2#就是越打越high，打久了你就知道我的厉害了,,16000012,1,1000278,,,1,703,2,100027800,1
1000279,战斗事件,#2#人生有80%是多灾多难的啦，往后你还会遇到比这还要麻烦的事呢。#1#所以人生带给我的伤痛越多，我在最终都会一并奉还,,19000007,1,1000279,,,1,703,2,100027900,1
1000280,战斗事件,#2#我的心中有一只蠢蠢欲动的黑色怪兽。#1#喂喂，那也别打我呀，我可是会反抗的哦，你都没有防御，只要被我打中就惨了,,19000020,1,1000280,,,1,703,2,100028000,1
1000281,战斗事件,#2#（中指推眼镜）真相往往不是那么容易看清。#1#什么是真相？#2#其实我是吸血鬼，10回合后我将让你见识到我的强大,,16000010,1,1000281,,,1,773,2,100028100,1
1000282,战斗事件,#1#那个，可以下手轻点吗？#2#以我的战斗力怎么可能会比新吧唧还轻呢阿鲁，现已加入吸血鬼家族豪华套餐阿鲁,,18000012,1,1000282,,,1,773,2,100028200,1
1000283,战斗事件,#2#你知道抖m的最高奥义是什么吗？#1#不知道#2#就是越打越high，打久了你就知道我的厉害了,,16000012,1,1000283,,,1,773,2,100028300,1
1000284,战斗事件,#2#人生有80%是多灾多难的啦，往后你还会遇到比这还要麻烦的事呢。#1#所以人生带给我的伤痛越多，我在最终都会一并奉还,,19000007,1,1000284,,,1,773,2,100028400,1
1000285,战斗事件,#2#我的心中有一只蠢蠢欲动的黑色怪兽。#1#喂喂，那也别打我呀，我可是会反抗的哦，你都没有防御，只要被我打中就惨了,,19000020,1,1000285,,,1,773,2,100028500,1
1000286,战斗事件,#2#露露子在此下令，向我臣服！#1#呀呀呀呀！不要！！！……阿咧，你怎么摔倒了？#2#……怎么样，刺不刺激，人生到处是惊喜。,,19000037,1,1000286,,,1,657,2,100028600,1
1000287,战斗事件,#2#请问买单是刷卡还是现金#1#刷盘子可以吗#2#可以，我还可以给你打折#1#几折？#2#骨折,,19000044,1,1000287,,,1,657,2,100028700,1
1000288,战斗事件,#1#我觉得你是男人的时候比女人的时候厉害#2#那是因为女人每月有一段时间持续掉血，hp常年不满，打怪的钱只得用来买药买零食，导致装备和经验根本跟不上。,,17000018,1,1000288,,,1,657,2,100028800,1
1000289,战斗事件,#1#你喜欢现实世界还是更喜欢sao的世界？#2#这些都不重要。sao让我认识了他…就算回到现实世界，我一样会去寻找他，有他的世界，哪里都可以！,,19000036,1,1000289,,,1,657,2,100028900,1
1000290,战斗事件,#1#听说你是90后#2#英雄不问出处歌手不问岁数#1#你是用超能力改变岁数的吗……,,19000068,1,1000290,,,1,657,2,100029000,1
1000291,战斗事件,#2#露露子在此下令，赋予自己强大的恢复力！#1#呀呀呀呀！不要！！！……阿咧，你怎么摔倒了？#2#……怎么样，刺不刺激，人生到处是惊喜。,,19000037,1,1000291,,,1,723,2,100029100,1
1000292,战斗事件,#2#以魔眼之力虚弱你，仅王者之力可破#1#what……#2#遇神杀神，遇佛杀佛，拦我者死！,,19000044,1,1000292,,,1,723,2,100029200,1
1000293,战斗事件,#2#呵！哈！吼呀！……#1#打断一下，有没有新招？#2#超高防御+恢复=打不死的战斗力,,17000018,1,1000293,,,1,723,2,100029300,1
1000294,战斗事件,#2#给我站住！！！#1#副团长？#2#看我持盾！休息一下回点能量！,,19000036,1,1000294,,,1,723,2,100029400,1
1000295,战斗事件,#2#滑板鞋一旦发动就会形成强大的护盾~还能增加治愈光环~#1#摩擦摩擦,,19000068,1,1000295,,,1,723,2,100029500,1
1000296,战斗事件,#2#露露子在此下令，赋予自己强大的恢复力！#1#呀呀呀呀！不要！！！……阿咧，你怎么摔倒了？#2#……怎么样，刺不刺激，人生到处是惊喜。,,19000037,1,1000296,,,1,795,2,100029600,1
1000297,战斗事件,#2#以魔眼之力虚弱你，仅王者之力可破#1#what……#2#遇神杀神，遇佛杀佛，拦我者死！,,19000044,1,1000297,,,1,795,2,100029700,1
1000298,战斗事件,#2#呵！哈！吼呀！……#1#打断一下，有没有新招？#2#超高防御+恢复=打不死的战斗力,,17000018,1,1000298,,,1,795,2,100029800,1
1000299,战斗事件,#2#给我站住！！！#1#副团长？#2#看我持盾！休息一下回点能量！,,19000036,1,1000299,,,1,795,2,100029900,1
1000300,战斗事件,#2#滑板鞋一旦发动就会形成强大的护盾~还能增加治愈光环~#1#摩擦摩擦,,19000068,1,1000300,,,1,795,2,100030000,1
1000301,战斗事件,#1#如果cosplay的话，我觉得cos你比较好#2#为什么？#1#因为你的服装简单，比较省钱#2#混蛋，你看不起我吗！,,18000019,1,1000301,,,1,665,2,100030100,1
1000302,战斗事件,#1#黑发绿瞳、死神镰刀…姑娘，你这cos真是下血本了吧。#2#我不是cos，我是真人。,,19000058,1,1000302,,,1,665,2,100030200,1
1000303,战斗事件,#1#cos兵长也不错，可惜就是身高有点……#2#喂，小鬼，你在说什么#1#我什么都没说！#2#哼，我已经听见了！,,19000046,1,1000303,,,1,665,2,100030300,1
1000304,战斗事件,#2#你是说想要cos我？随你便#1#圣剑也可以借我吗#2#不可以#1#诶…没有圣剑就没了气势了#2#既然你如此为难，那就给你个机会，打败我，就借给你,,19000043,1,1000304,,,1,665,2,100030400,1
1000305,战斗事件,#2#什么？cosplay的精髓？哼，只有一句话，cos的话要连心一起cos！哼，看你一脸呆样就知道你没领悟！我给你示范一下，假如你是s，我是m，摆好姿势，手再高点，用力的样子，对，再用力点！啊～～～～#1#你这根本不是在cos吧……,,16000012,1,1000305,,,1,665,2,100030500,1
1000306,战斗事件,#2#我对这个世界还有依恋，所以我会努力打倒我的对手#1#如果不能呢？#2#，如果你前10回合没有防住，那么10回合后我不再给你机会,,18000019,1,1000306,,,1,732,2,100030600,1
1000307,战斗事件,#2#即使受伤，身为死亡的主宰者，也要先发制人，哪怕持续了再久，我也要拼着一口气全力杀掉我的敌人。#1#我只能努力的防守了,,19000058,1,1000307,,,1,732,2,100030700,1
1000308,战斗事件,#2#喂，小鬼，现在是什么情况？#1#我是来挑战你的，兵长！#2#有志气，那我就稍微陪你玩玩，注意防守。#1#不用你让我#2#好，只要你能让我和你对战到10回合，我就拿出真本事来。,,19000046,1,1000308,,,1,732,2,100030800,1
1000309,战斗事件,#2#吾身乃剑所成，钢铁之身，玻璃之心，跨越无数战场，无一败绩。#1#今天你必败于我的剑下#2#哦？那么你小心了。如果你防守太差的话……就有你好看,,19000043,1,1000309,,,1,732,2,100030900,1
1000310,战斗事件,"#2#祗园精舍钟声扬,回荡诸事尽无常,沙罗双树花颜改,示意吾等斩奸娼，晚上好，先攻暴击美人，小猿，参上。",,16000012,1,1000310,,,1,732,2,100031000,1
1000311,战斗事件,#2#我对这个世界还有依恋，所以我会努力打倒我的对手#1#如果不能呢？#2#，如果你前10回合没有防住，那么10回合后我不再给你机会,,18000019,1,1000311,,,1,805,2,100031100,1
1000312,战斗事件,#2#即使受伤，身为死亡的主宰者，也要先发制人，哪怕持续了再久，我也要拼着一口气全力杀掉我的敌人。#1#我只能努力的防守了,,19000058,1,1000312,,,1,805,2,100031200,1
1000313,战斗事件,#2#喂，小鬼，现在是什么情况？#1#我是来挑战你的，兵长！#2#有志气，那我就稍微陪你玩玩，注意防守。#1#不用你让我#2#好，只要你能让我和你对战到10回合，我就拿出真本事来。,,19000046,1,1000313,,,1,805,2,100031300,1
1000314,战斗事件,#2#吾身乃剑所成，钢铁之身，玻璃之心，跨越无数战场，无一败绩。#1#今天你必败于我的剑下#2#哦？那么你小心了。如果你防守太差的话……就有你好看,,19000043,1,1000314,,,1,805,2,100031400,1
1000315,战斗事件,"#2#祗园精舍钟声扬,回荡诸事尽无常,沙罗双树花颜改,示意吾等斩奸娼，晚上好，先攻暴击美人，小猿，参上。",,16000012,1,1000315,,,1,805,2,100031500,1
1000316,战斗事件,#2#为什么考试手机要关机？#1#因为最怕突然听见你的消息……,,19000036,1,1000316,,,1,674,2,100031600,1
1000317,战斗事件,#2#明明到了高考的年纪，却没有做好高考的觉悟，你不觉得这种心态很奇怪吗？所谓的高考，就是这么回事哟！,,19000038,1,1000317,,,1,674,2,100031700,1
1000318,战斗事件,#2#闭上你的狗眼，杂种！！你没有监考本王的权利，蝼蚁就应该有个蝼蚁样，趴在地上，然后去死！,,19000002,1,1000318,,,1,674,2,100031800,1
1000319,战斗事件,#2#参加什么考试，并非我身为骑士的职责。不过，要是master折磨下令的话，我也只能遵从，作为侮辱我智商的代价，我将取走一个刻印……,,19000043,1,1000319,,,1,674,2,100031900,1
1000320,战斗事件,#2#吾好梦中答题！,,19000041,1,1000320,,,1,674,2,100032000,1
1000321,战斗事件,#2#打累了，让我回个血歇歇#1#喂，不带你这么赖皮的，就算扮可爱我也不吃这一套，我可不是桐也（但是真的好可爱啊）,,19000036,1,1000321,,,1,741,2,100032100,1
1000322,战斗事件,#1#你为什么回血？#2#不回血确实不好杀掉你呢~你这么让我喜欢，我一定要杀掉你#1#我其实是拒绝的,,19000038,1,1000322,,,1,741,2,100032200,1
1000323,战斗事件,#2#杂种！居然敢伤了本王！#1#……#2#但是本王可以回血！本王是无敌的，凭你也想伤我！！,,19000002,1,1000323,,,1,741,2,100032300,1
1000324,战斗事件,#2#对于骑士而言，受了伤也要站起来！#1#站起来你也不可能打过我#2#我的伤口可以自动愈合，我可以自行回血,,19000043,1,1000324,,,1,741,2,100032400,1
1000325,战斗事件,#2#来人，护驾！给朕回血！,,19000041,1,1000325,,,1,741,2,100032500,1
1000326,战斗事件,#2#打累了，让我回个血歇歇#1#喂，不带你这么赖皮的，就算扮可爱我也不吃这一套，我可不是桐也（但是真的好可爱啊）,,19000036,1,1000326,,,1,815,2,100032600,1
1000327,战斗事件,#1#你为什么回血？#2#不回血确实不好杀掉你呢~你这么让我喜欢，我一定要杀掉你#1#我其实是拒绝的,,19000038,1,1000327,,,1,815,2,100032700,1
1000328,战斗事件,#2#杂种！居然敢伤了本王！#1#……#2#但是本王可以回血！本王是无敌的，凭你也想伤我！！,,19000002,1,1000328,,,1,815,2,100032800,1
1000329,战斗事件,#2#对于骑士而言，受了伤也要站起来！#1#站起来你也不可能打过我#2#我的伤口可以自动愈合，我可以自行回血,,19000043,1,1000329,,,1,815,2,100032900,1
1000330,战斗事件,#2#来人，护驾！给朕回血！,,19000041,1,1000330,,,1,815,2,100033000,1
1000331,战斗事件,#2#知道我最不喜欢别人夸我什么吗？#1#哎呀，果然人不可貌相啊。,,19000056,1,1000331,,,1,687,2,100033100,1
1000332,战斗事件,#1#年轻但时候太拼，还没老身体就垮了，哎，值得吗……#2#你以为年轻的时候不拼，老了身体就不会垮了吗？,,19000025,1,1000332,,,1,687,2,100033200,1
1000333,战斗事件,#1#杀气究竟是什么样的感觉？#2#母上大人喊你全名的时候,,18000044,1,1000333,,,1,687,2,100033300,1
1000334,战斗事件,#2#知道人什么时候最畅快吗？#1#洗耳恭听#2#憋了很久的尿终于尿出来的时候,,19000009,1,1000334,,,1,687,2,100033400,1
1000335,战斗事件,#1#家康，你的两个家臣在争吵。#2#朽木不可雕也。说了多少次了，看来他们这性子还修炼的不到家。为些闲聊话就动气争吵可不行，凡事要忍耐，忍耐，再忍耐。,,19000055,1,1000335,,,1,687,2,100033500,1
1000336,战斗事件,#1#你这招太阴了，我怎么躲都躲不掉！看来还真是果然人不可貌相啊。#2#知道我最不喜欢别人这么夸我吗？！！,,19000056,1,1000336,,,1,756,2,100033600,1
1000337,战斗事件,#1#我已经看穿了你们的招式了，看来你们这里人人都练了诡异的功夫…我只能硬抗你们的伤害了。#2#但是不要以为我和那个猴子一样，我在10回合之后还会自我修复！,,19000025,1,1000337,,,1,756,2,100033700,1
1000338,战斗事件,#1#有杀气！！#2#听说你已经打败了两位#1#是的#2#别看我的技能和前面的人一样，但是我的闪避更强,,18000044,1,1000338,,,1,756,2,100033800,1
1000339,战斗事件,#2#大胆！见到还不下跪！#1#我是即将打倒你的人，不跪！#2#哼哼，如果没在10回合内干掉我，你就没机会了,,19000009,1,1000339,,,1,756,2,100033900,1
1000340,战斗事件,#2#呵呵…少年人，其实我们不必动武，可以平心静气谈一谈#1#不想谈，我想用武力解决问题。#2#那就给你看下德川流的奥义，只要你没在前面弄死我，后面就你没机会了,,19000055,1,1000340,,,1,756,2,100034000,1
1000341,战斗事件,#1#你这招太阴了，我怎么躲都躲不掉！看来还真是果然人不可貌相啊。#2#知道我最不喜欢别人这么夸我吗？！！,,19000056,1,1000341,,,1,832,2,100034100,1
1000342,战斗事件,#1#我已经看穿了你们的招式了，看来你们这里人人都练了诡异的功夫…我只能硬抗你们的伤害了。#2#但是不要以为我和那个猴子一样，我在10回合之后还会自我修复！,,19000025,1,1000342,,,1,832,2,100034200,1
1000343,战斗事件,#1#有杀气！！#2#听说你已经打败了两位#1#是的#2#别看我的技能和前面的人一样，但是我的闪避更强,,18000044,1,1000343,,,1,832,2,100034300,1
1000344,战斗事件,#2#大胆！见到还不下跪！#1#我是即将打倒你的人，不跪！#2#哼哼，如果没在10回合内干掉我，你就没机会了,,19000009,1,1000344,,,1,832,2,100034400,1
1000345,战斗事件,#2#呵呵…少年人，其实我们不必动武，可以平心静气谈一谈#1#不想谈，我想用武力解决问题。#2#那就给你看下德川流的奥义，只要你没在前面弄死我，后面就你没机会了,,19000055,1,1000345,,,1,832,2,100034500,1
1000346,战斗事件,#2#网络真是太好了！以前我传教要亲自跑去很多地方，特别累！感觉都不会爱了！#1#现在呢？#2#现在，只要一句简单的上网，我就再也不想去西天取经了。,,19000047,1,1000346,,,1,699,2,100034600,1
1000347,战斗事件,#2#你摸过男生的脸吗？#1#扇过耳光#2#你牵过男生的手腕吗？#1#掰过手腕#2#那你和男生做过偷偷摸摸的事吗？#1#上次考试作弊，哎哟吓得我那个……#2#这是一个悲伤的故事完,,19000012,1,1000347,,,1,699,2,100034700,1
1000348,战斗事件,#1#什么时候，你会觉得自己不是亲生的”#2#全家丢下我出去旅游的时候。,,17000003,1,1000348,,,1,699,2,100034800,1
1000349,战斗事件,#1#你长的好像一个人#2#你的搭讪手段有点老套哦#1#我下一任女朋友,,19000039,1,1000349,,,1,699,2,100034900,1
1000350,战斗事件,#1#被巨人踩了以后爬起来说一句什么话最潇洒？#2#下一个！！,,19000045,1,1000350,,,1,699,2,100035000,1
1000351,战斗事件,#2#阿弥陀佛，善哉。#1#圣僧有何指教？#2#在佛祖面前，我们都无遮掩，所以任何防备都会无效,,19000047,1,1000351,,,1,769,2,100035100,1
1000352,战斗事件,#2#接受了大自然的恩惠而不知感恩的人啊，承受大自然的怒火吧。#1#@@什么意思？#2#任何防御都无法抵御大自然的惩戒！,,19000012,1,1000352,,,1,769,2,100035200,1
1000353,战斗事件,#1#我看你并不如外界传闻那么不讲理。#2#出来混总是要还的。#1#所以是什么意思？#2#人类总是这么脆弱，什么防备都无意义,,17000003,1,1000353,,,1,769,2,100035300,1
1000354,战斗事件,#2#滴滴答啦，听我最新的治愈之歌~#1#一定有陷阱！#2#只是瓦解了你的防御而已呀，并没有那么过分嘛。10回合之后的事？等你撑到那会再说吧,,19000039,1,1000354,,,1,769,2,100035400,1
1000355,战斗事件,#2#跟巨人相比你太脆弱了。#1#虽然我防御低，也聊胜于无吧，就这么无视了，摔！,,19000045,1,1000355,,,1,769,2,100035500,1
1000356,战斗事件,#2#阿弥陀佛，善哉。#1#圣僧有何指教？#2#在佛祖面前，我们都无遮掩，所以任何防备都会无效,,19000047,1,1000356,,,1,846,2,100035600,1
1000357,战斗事件,#2#接受了大自然的恩惠而不知感恩的人啊，承受大自然的怒火吧。#1#@@什么意思？#2#任何防御都无法抵御大自然的惩戒！,,19000012,1,1000357,,,1,846,2,100035700,1
1000358,战斗事件,#1#我看你并不如外界传闻那么不讲理。#2#出来混总是要还的。#1#所以是什么意思？#2#人类总是这么脆弱，什么防备都无意义,,17000003,1,1000358,,,1,846,2,100035800,1
1000359,战斗事件,#2#滴滴答啦，听我最新的治愈之歌~#1#一定有陷阱！#2#只是瓦解了你的防御而已呀，并没有那么过分嘛。10回合之后的事？等你撑到那会再说吧,,19000039,1,1000359,,,1,846,2,100035900,1
1000360,战斗事件,#2#跟巨人相比你太脆弱了。#1#虽然我防御低，也聊胜于无吧，就这么无视了，摔！,,19000045,1,1000360,,,1,846,2,100036000,1
1000361,战斗事件,#1#找不到女朋友现在的女生都太现实了#2#现实的女人好，不现实的都看脸，你行吗？,,17000033,1,1000361,,,1,699,2,100036100,1
1000362,战斗事件,#2#有一些想法我以前深信，现在不再相信了#1#是什么？#2#年轻漂亮又怎么样？未必生的出儿子！,,18000043,1,1000362,,,1,699,2,100036200,1
1000363,战斗事件,#1#茶茶大人，虽然有点不好意思，我有一个恋爱的小问题……#2#但说无妨#1#约会的时候，如何才能让对方觉得自己捉摸不定，让他花心思在自己身上呢？#2#温柔的和对方聊一个小时，然后突然冷笑。,,17000031,1,1000363,,,1,699,2,100036300,1
1000364,战斗事件,#2#不知道我现在学习古琴还能不能来得及……#1#有点难，你娘已经打不过你了吧……,,17000032,1,1000364,,,1,699,2,100036400,1
1000365,战斗事件,#1#你怎么又来了？！#2#我是来给你分享经验的#1#什么经验？#2#结婚结婚，结了就分！,,17000033,1,1000365,,,1,699,2,100036500,1
1000366,战斗事件,#1#都说日本的女人没有地位，唯独你是不同的，求教你是怎么做到的？#2#过奖，我只是略施手段罢了。#1#什么手段？#2#我出手之后，15%以上的技能都被我封印,,17000033,1,1000366,,,1,769,2,100036600,1
1000367,战斗事件,#2#我们这里都是些女人家，自不可能采取一些凶暴的打法，但我们也有我们的做法#1#我知道，是技能封印#2#而且每个人的程度不同，我出手的话，12%以上的将被我封印,,18000043,1,1000367,,,1,769,2,100036700,1
1000368,战斗事件,#1#茶茶大人，我对您仰慕已久了#2#为何仰慕我？#1#在您抢了宁宁夫人的老公以后，还生下了儿子，成功封住了宁宁夫人的嘴#2#……我只是封印了10%以上的技能而已,,17000031,1,1000368,,,1,769,2,100036800,1
1000369,战斗事件,#2#我可是浅井三姐妹之一，自然也不输给姐姐……#1#是嘛…你的封印会更厉害咯？#2#我出手的话，8%以上的都被封印，如何？,,17000032,1,1000369,,,1,769,2,100036900,1
1000370,战斗事件,#1#你怎么又来了？！#2#刚刚打的时候没有准备好，就这么被你收拾掉了，身为将军夫人，太丢脸了#1#所以你这次要对我用封印了吗……#2#5%！应该说，这才是我的实力,,17000033,1,1000370,,,1,769,2,100037000,1
1000371,战斗事件,#1#都说日本的女人没有地位，唯独你是不同的，求教你是怎么做到的？#2#过奖，我只是略施手段罢了。#1#什么手段？#2#我出手之后，15%以上的技能都被我封印，并且无视防御,,17000033,1,1000371,,,1,846,2,100037100,1
1000372,战斗事件,#2#我们这里都是些女人家，自不可能采取一些凶暴的打法，但我们也有我们的做法#1#我知道，是技能封印#2#而且每个人的程度不同，我出手的话，12%以上的将被我封印,,18000043,1,1000372,,,1,846,2,100037200,1
1000373,战斗事件,#1#茶茶大人，我对您仰慕已久了#2#为何仰慕我？#1#在您抢了宁宁夫人的老公以后，还生下了儿子，成功封住了宁宁夫人的嘴#2#……我只是封印了10%以上的技能而已,,17000031,1,1000373,,,1,846,2,100037300,1
1000374,战斗事件,#2#我可是浅井三姐妹之一，自然也不输给姐姐……#1#是嘛…你的封印会更厉害咯？#2#我出手的话，8%以上的都被封印，如何？,,17000032,1,1000374,,,1,846,2,100037400,1
1000375,战斗事件,#1#你怎么又来了？！#2#刚刚打的时候没有准备好，就这么被你收拾掉了，身为将军夫人，太丢脸了#1#所以你这次要对我用封印了吗……#2#5%！应该说，这才是我的实力,,17000033,1,1000375,,,1,846,2,100037500,1
1000376,战斗事件,#1#兵长你的脸色不好#2#晕船晕的睡不好#1#拿个被子盖肚子上不就好了嘛，无论多热只要肚子上盖着东西，哪怕是个邦迪就觉也会充满安全感。,,19000046,1,1000376,,,1,699,2,100037600,1
1000377,战斗事件,#1#海上这么晒，你居然不用防晒霜？#2#它自己都救不了，涂它又有什么用#1#什么意思？#2#你自己看，它上面写着，请于阴凉处存放，避免日照。,,17000030,1,1000377,,,1,699,2,100037700,1
1000378,战斗事件,#2#爱情和面包，你如何选择。如何你选择错了，我就把你变成石头。#1#给我爱情和包就行了，面我自己可以买。,,18000003,1,1000378,,,1,699,2,100037800,1
1000379,战斗事件,#2#我给你发了个红包#1#我怎么没看见，你再发一次#2#我又发了，收到了吗#1#嗯，俩个都收到了。,,17000005,1,1000379,,,1,699,2,100037900,1
1000380,战斗事件,#2#听说美术狗自作主张在百度搜了一个我的口头禅叫嗯家什么的，然后被众人吐槽了很久#1#是的，硬要说你的口头禅的话，不是星辰大海么。,,18000021,1,1000380,,,1,699,2,100038000,1
1000381,战斗事件,#1#人类最强战士！兵长你是我的偶像！#2#既然如此就给你见识一下吧，我出手之后，15%以上的那些小伎俩就不要在我面前秀了,,19000046,1,1000381,,,1,769,2,100038100,1
1000382,战斗事件,#2#12%以上的我不想看到，在这样的限制之下，你是否还能博得女神的青睐呢,,17000030,1,1000382,,,1,769,2,100038200,1
1000383,战斗事件,#1#你别瞪我，据说你瞪谁谁石化。#2#说什么石化，哪有那么夸张，只是出手后封印了你10%以上的技能哦,,18000003,1,1000383,,,1,769,2,100038300,1
1000384,战斗事件,#2#身为身经百战的吸血鬼猎人，我的必杀技就是封印。要知道，我一出手就可以封住了8%以上的技能，这样才能有效控制血族们,,17000005,1,1000384,,,1,769,2,100038400,1
1000385,战斗事件,#2#啊哈哈哈哈，干嘛打架啦，我们要用话语好好谈谈嘛。#1#啊哈哈哈哈，可是我不想谈，#2#啊哈哈哈，5%以上的技能已经飞向星辰大海~再也找不到啦,,18000021,1,1000385,,,1,769,2,100038500,1
1000386,战斗事件,#1#人类最强战士！兵长你是我的偶像！#2#既然如此就给你见识一下吧，我出手之后，15%以上的那些小伎俩就不要在我面前秀了,,19000046,1,1000386,,,1,846,2,100038600,1
1000387,战斗事件,#2#12%以上的我不想看到，在这样的限制之下，你是否还能博得女神的青睐呢,,17000030,1,1000387,,,1,846,2,100038700,1
1000388,战斗事件,#1#你别瞪我，据说你瞪谁谁石化。#2#说什么石化，哪有那么夸张，只是出手后封印了你10%以上的技能哦,,18000003,1,1000388,,,1,846,2,100038800,1
1000389,战斗事件,#2#身为身经百战的吸血鬼猎人，我的必杀技就是封印。要知道，我一出手就可以封住了8%以上的技能，这样才能有效控制血族们,,17000005,1,1000389,,,1,846,2,100038900,1
1000390,战斗事件,#2#啊哈哈哈哈，干嘛打架啦，我们要用话语好好谈谈嘛。#1#啊哈哈哈哈，可是我不想谈，#2#啊哈哈哈，5%以上的技能已经飞向星辰大海~再也找不到啦,,18000021,1,1000390,,,1,846,2,100039000,1
1000391,战斗事件,#1#有没有一句话让你泪流满面？#2#99.9%0kb/s 载入失败,,18000033,1,1000391,,,1,699,2,100039100,1
1000392,战斗事件,#1#什么时候感觉心都凉了？#2#发现文件没有保存的时候,,18000031,1,1000392,,,1,699,2,100039200,1
1000393,战斗事件,#1#原来如此的英文怎么说？#2#soga……,,18000038,1,1000393,,,1,699,2,100039300,1
1000394,战斗事件,#1#女神，我喜欢你#2#你喜欢我哪，我改#1#我就喜欢你不喜欢我，你改啊！！,,17000030,1,1000394,,,1,699,2,100039400,1
1000395,战斗事件,#1#你喜欢养狗吗？#2#喜欢啊#1#我这里有只狗，没人要，但是我觉得挺好的，送你行吗？#2#行啊，是什么狗？#1#单身狗,,18000036,1,1000395,,,1,699,2,100039500,1
1000396,战斗事件,#2#有没有一场战斗让你泪流满面？#1#只准你放大招却封印我的大招#2#只是出手后封印了你5%以下的技能而已嘛,,18000033,1,1000396,,,1,769,2,100039600,1
1000397,战斗事件,#2#什么时候感觉心都凉了？#1#在你用了封印了我6%以下的技能我还躲不掉的时候,,18000031,1,1000397,,,1,769,2,100039700,1
1000398,战斗事件,#1#你也是和他们一样的吗#2#不一样，我比他们更强，在我出手后，8%以下的技能都没有出手机会了,,18000038,1,1000398,,,1,769,2,100039800,1
1000399,战斗事件,#1#听说韩国女神撕逼的时候都是很狠的#2#没错，吵起来绝对狂轰滥炸让你10%以下的都没有办法出手,,17000030,1,1000399,,,1,769,2,100039900,1
1000400,战斗事件,#1#奶茶妹妹是自己国家人，应该比较温柔#2#我不出阴招，只是封印你12%以下的技能,,18000036,1,1000400,,,1,769,2,100040000,1
1000401,战斗事件,#2#有没有一场战斗让你泪流满面？#1#只准你放大招却封印我的大招#2#只是出手后封印了你5%以下的技能而已嘛,,18000033,1,1000401,,,1,846,2,100040100,1
